allocation_max_error,auprc,budget_absolute_error,critical_budget,dataset,detection_delay,early_recall,effective_total_budget,evaluation_split,far,macro_f1,mask_sha256,noncritical_budget,rho,seed,test_metrics_read,training
0.0,0.5967121656286116,0.0,0.0,3W,1899.25,0.8592822101729926,0.0,validation,0.43208270270748694,0.3154453967563408,91a2176df9de718bcac6f44f297061960eb3c7adf087272e1d56e633f7c2c3ec,0.0,0.0,42,False,new_training
0.0,0.6470028280449565,0.0,0.0029865573160350323,3W,1716.2222222222222,0.8390136844823135,0.004493410233408213,validation,0.34751245762636856,0.3499636650588828,91a2176df9de718bcac6f44f297061960eb3c7adf087272e1d56e633f7c2c3ec,0.005140051711350679,0.25,42,False,new_training
0.0,0.6446380228576509,0.0,0.0029865573160350323,3W,2142.8888888888887,0.8883294603666408,0.004493410233408213,validation,0.288618641742563,0.5362920382895364,91a2176df9de718bcac6f44f297061960eb3c7adf087272e1d56e633f7c2c3ec,0.005140051711350679,0.25,43,False,new_training
0.0,0.5916347903977606,0.0,0.0029865573160350323,3W,144.66666666666666,0.7499354505551252,0.004493410233408213,validation,0.2894152217590257,0.41893579838963607,91a2176df9de718bcac6f44f297061960eb3c7adf087272e1d56e633f7c2c3ec,0.005140051711350679,0.25,44,False,new_training
0.0,0.6157099222139112,0.0,0.0059731146320700645,3W,1947.25,0.8236509166021172,0.008986820466816425,validation,0.3425559597461565,0.35053148653292315,91a2176df9de718bcac6f44f297061960eb3c7adf087272e1d56e633f7c2c3ec,0.010280103422701359,0.5,42,False,new_training
0.0,0.6814467337871993,0.0,0.0059731146320700645,3W,2189.1111111111113,0.8866511747998967,0.008986820466816425,validation,0.28902578263986617,0.5371986763223631,91a2176df9de718bcac6f44f297061960eb3c7adf087272e1d56e633f7c2c3ec,0.010280103422701359,0.5,43,False,new_training
0.0,0.5483392634356246,0.0,0.0059731146320700645,3W,162.44444444444446,0.9066615027110767,0.008986820466816425,validation,0.2888930193037891,0.45298663460280625,91a2176df9de718bcac6f44f297061960eb3c7adf087272e1d56e633f7c2c3ec,0.010280103422701359,0.5,44,False,new_training
5.960464477539063e-08,0.6159729911019076,0.0,0.00895967148244381,3W,1670.0,0.8730957913761942,0.01348023023456335,validation,0.43729587637078143,0.3143530182156539,91a2176df9de718bcac6f44f297061960eb3c7adf087272e1d56e633f7c2c3ec,0.015420155599713326,0.75,42,False,new_training
0.0,0.628792459717419,0.0,0.011946229264140129,3W,1955.25,0.8536018590240124,0.01797364093363285,validation,0.3425559597461565,0.34256969678723803,91a2176df9de718bcac6f44f297061960eb3c7adf087272e1d56e633f7c2c3ec,0.020560206845402718,1.0,42,False,reused_validation_reference
0.0,0.6841855017270957,0.0,0.011946229264140129,3W,2171.3333333333335,0.8876839659178931,0.01797364093363285,validation,0.2889549755272917,0.5374207740656652,91a2176df9de718bcac6f44f297061960eb3c7adf087272e1d56e633f7c2c3ec,0.020560206845402718,1.0,43,False,reused_validation_reference
0.0,0.6936409693053964,0.0,0.011946229264140129,3W,158.88888888888889,0.9546862896979086,0.01797364093363285,validation,0.27255427807723287,0.4915596734227221,91a2176df9de718bcac6f44f297061960eb3c7adf087272e1d56e633f7c2c3ec,0.020560206845402718,1.0,44,False,reused_validation_reference
0.0,0.9953104376954711,0.0,0.0,TEP,110.6,0.975,0.0,validation,0.05580357142857143,0.965618451345007,ab3ee5ee99a4c73ed5668456a6ab233b9f05fa7304fac09c7b99470b555a5384,0.0,0.0,7,False,new_training
0.0,0.9952208923002562,0.0,0.002998396521434188,TEP,109.8,0.99375,0.004493410233408213,validation,0.049107142857142856,0.9703153030649062,ab3ee5ee99a4c73ed5668456a6ab233b9f05fa7304fac09c7b99470b555a5384,0.005134486127644777,0.25,2026,False,new_training
0.0,0.9958819005719384,0.0,0.002998396521434188,TEP,107.0,1.0,0.004493410233408213,validation,0.0390625,0.9739868859507685,ab3ee5ee99a4c73ed5668456a6ab233b9f05fa7304fac09c7b99470b555a5384,0.005134486127644777,0.25,42,False,new_training
0.0,0.9955434625080967,0.0,0.002998396521434188,TEP,107.4,0.99375,0.004493410233408213,validation,0.044642857142857144,0.9739632365203263,ab3ee5ee99a4c73ed5668456a6ab233b9f05fa7304fac09c7b99470b555a5384,0.005134486127644777,0.25,7,False,new_training
0.0,0.9952331234631793,0.0,0.005996793042868376,TEP,107.0,1.0,0.008986820466816425,validation,0.049107142857142856,0.9708333333333333,ab3ee5ee99a4c73ed5668456a6ab233b9f05fa7304fac09c7b99470b555a5384,0.010268972255289555,0.5,2026,False,new_training
0.0,0.9957801631436355,0.0,0.005996793042868376,TEP,107.4,0.99375,0.008986820466816425,validation,0.04017857142857143,0.9734642775844689,ab3ee5ee99a4c73ed5668456a6ab233b9f05fa7304fac09c7b99470b555a5384,0.010268972255289555,0.5,42,False,new_training
0.0,0.9954365057490131,0.0,0.005996793042868376,TEP,107.4,0.99375,0.008986820466816425,validation,0.04241071428571429,0.9729367031983895,ab3ee5ee99a4c73ed5668456a6ab233b9f05fa7304fac09c7b99470b555a5384,0.010268972255289555,0.5,7,False,new_training
5.960464477539063e-08,0.9954876114202688,0.0,0.00899518933147192,TEP,107.4,0.99375,0.01348023023456335,validation,0.041294642857142856,0.9729415622463407,ab3ee5ee99a4c73ed5668456a6ab233b9f05fa7304fac09c7b99470b555a5384,0.01540345698595047,0.75,7,False,new_training
0.0,0.96445862106746,0.0,0.011993586085736752,TEP,128.4857142857143,0.75625,0.01797364093363285,validation,0.025669642857142856,0.8847805728678917,ab3ee5ee99a4c73ed5668456a6ab233b9f05fa7304fac09c7b99470b555a5384,0.02053794451057911,1.0,2026,False,reused_validation_reference
0.0,0.9846706538017639,0.0,0.011993586085736752,TEP,126.6,0.95,0.01797364093363285,validation,0.06808035714285714,0.9237822833016643,ab3ee5ee99a4c73ed5668456a6ab233b9f05fa7304fac09c7b99470b555a5384,0.02053794451057911,1.0,42,False,reused_validation_reference
0.0,0.981885557871975,0.0,0.011993586085736752,TEP,138.6,0.83125,0.01797364093363285,validation,0.03236607142857143,0.9224647246536544,ab3ee5ee99a4c73ed5668456a6ab233b9f05fa7304fac09c7b99470b555a5384,0.02053794451057911,1.0,7,False,reused_validation_reference
