dataset,fraction,method,macro_f1_mean,macro_f1_sd,auprc_mean,auprc_sd,far_mean,far_sd,early_recall_mean,early_recall_sd,detection_delay_mean,detection_delay_sd,outer_count,cell_count
3W,0.1,CALIBRATED_RHO,0.36773184591705643,0.05293219239992011,0.770486639446136,0.13758019740843713,0.5475254953799535,0.3844277023191484,0.918797309025741,0.0371661345323114,863.0191974107762,448.2793305275339,3,15
3W,0.1,FINAL_QDIFFCL_FIXED,0.3695399988224391,0.05277482978738221,0.762772927517612,0.13083864607334478,0.5299014016822402,0.36899010986035063,0.9117666852143879,0.028447528116607838,891.2152680068469,417.2121110055083,3,15
3W,0.1,JITTER_SCALING,0.3573606608801572,0.09049613385162311,0.7736479877188794,0.14173292959586686,0.5391699198274679,0.3835557478015629,0.8877077695342703,0.03320541695546329,1461.7619510898458,891.7818070385307,3,15
3W,0.1,NO_AUG,0.3814129786825096,0.061383091253704,0.7634134978167263,0.14137843749922913,0.5181511982457844,0.36157184876071635,0.8899910190245075,0.03414252625951937,1527.4314040442987,887.921213550437,3,15
3W,0.1,UNIFORM_DIFFUSION,0.3722938738758279,0.049217948844572874,0.7714288040187182,0.13277995675323923,0.5472484882921101,0.38388650391973694,0.9176450932093002,0.035285124863018595,864.0018762524027,479.0933801913071,3,15
3W,0.25,CALIBRATED_RHO,0.36974384631965673,0.10993925091141396,0.733593252200181,0.18178611632667285,0.6088855105523332,0.4205278727435375,0.9030625722865988,0.05659987418196708,1033.118555421187,1185.1742987808248,3,15
3W,0.25,FINAL_QDIFFCL_FIXED,0.37012085369033715,0.13238720659296244,0.7252584316684176,0.183956540394483,0.6218774790041156,0.4393702727041316,0.8940270082443087,0.06092914470910233,1175.183230638757,1154.5537649207952,3,15
3W,0.25,JITTER_SCALING,0.36713753424366957,0.13985702899349403,0.7468374717554541,0.1511267262429895,0.6278003326774187,0.44314061787925113,0.8758036388988065,0.10160881932023799,1601.5880559985826,2014.2537851083152,3,15
3W,0.25,NO_AUG,0.3643694002576627,0.1254129461283505,0.7266604493748382,0.17344716008493327,0.6256205108232276,0.43671783154057764,0.917875322375396,0.04139450097076835,800.8914378895957,545.2265946945788,3,15
3W,0.25,UNIFORM_DIFFUSION,0.37617552569299484,0.08665421541191111,0.7492129764335087,0.12900672411029349,0.5950863530391742,0.4163176821283373,0.921208343503408,0.043575597637953094,606.9311014326804,466.3338022786302,3,15
3W,1.0,CALIBRATED_RHO,0.32210130841653456,0.045347589885939905,0.7795027666058338,0.10677177776961436,0.6430377903249971,0.188853771297879,0.8646656945604106,0.04730172523969762,1538.8249883449882,1650.7644851411487,3,15
3W,1.0,FINAL_QDIFFCL_FIXED,0.2936591545209261,0.0895177355821653,0.7304971344055335,0.1972702595550901,0.6671943388308811,0.22247277162841617,0.8514193839480266,0.07611084933989432,1438.5244183594184,1498.7917752422265,3,15
3W,1.0,JITTER_SCALING,0.3430012929569661,0.028485610381448506,0.7287617250489693,0.178569465010498,0.5909769865125344,0.09868961880382426,0.8326033775371336,0.07688126765142261,1177.1410582010583,1633.7816588211308,3,15
3W,1.0,NO_AUG,0.32414777302539294,0.05358904986593256,0.7733824540786042,0.11741951402228974,0.6133289932915343,0.2334131387955137,0.8548420279543566,0.07394915067456956,2372.1812957412953,1903.457277376055,3,15
3W,1.0,UNIFORM_DIFFUSION,0.3133879119702581,0.12809546705840655,0.7269524504672714,0.18996086111650198,0.6341373323032758,0.305382842461737,0.8173330258945762,0.06270183043799124,3144.420691530692,2244.733660200217,3,15
TEP,1.0,CALIBRATED_RHO,0.948638754188344,0.024984321363349857,0.9860541933807027,0.009770862568338146,0.017366769434862928,0.004023744450210657,0.8820833333333334,0.09430944190977562,84.31160593792173,10.278439261593647,3,15
TEP,1.0,FINAL_QDIFFCL_FIXED,0.9483243075214224,0.02544368527672238,0.9858826856381011,0.009892578241615933,0.01950722771442301,0.003119229247377781,0.88375,0.09429839606271151,84.19774179037337,10.384827198506727,3,15
TEP,1.0,JITTER_SCALING,0.9491543484596127,0.02389904035481789,0.9864729658267609,0.009275412416578968,0.019107270784794794,0.0067103887671165355,0.88375,0.09354978621033831,84.18754835807466,10.262778731727463,3,15
TEP,1.0,NO_AUG,0.9480150760327635,0.02514085779748006,0.9857834866668002,0.009887038015664235,0.017468851651506304,0.0032697089935855147,0.8795833333333333,0.09207956251706088,84.82726945569051,11.101177043540229,3,15
TEP,1.0,UNIFORM_DIFFUSION,0.9468581111153741,0.025451470526021976,0.98536533210789,0.010277258386155372,0.01972732730248949,0.00436024758516069,0.8795833333333333,0.09475571662613999,84.99791273054431,10.540332884984421,3,15
