dataset,method,seed,relative_window,phase,run_count,normalized_score_mean,normalized_score_median,normalized_score_ci_low,normalized_score_ci_high,raw_probability_mean,pre_onset_mean,pre_onset_std
TEP,SCALING,7,-7,pre_onset,40,-1.3378907442092896,-1.3378907442092896,-1.3412485480308534,-1.3345329403877257,0.4624110013246536,0.4666270613670349,0.0031512738205492496
TEP,SCALING,7,-6,pre_onset,40,-0.4483436271548271,-0.4483436271548271,-0.6271774835884572,-0.26950977072119714,0.46521420776844025,0.4666270613670349,0.0031512738205492496
TEP,SCALING,7,-5,pre_onset,40,0.11848018318414688,0.11848018318414688,0.08485358171164989,0.14730298444628714,0.46700042486190796,0.4666270613670349,0.0031512738205492496
TEP,SCALING,7,-4,pre_onset,40,1.0086613565683364,1.0086608827114105,0.7438451975584031,1.27347751557827,0.4698056295514107,0.4666270613670349,0.0031512738205492496
TEP,SCALING,7,-3,pre_onset,40,1.295451432466507,1.295451432466507,1.1622860580682755,1.4286168068647385,0.4707093834877014,0.4666270613670349,0.0031512738205492496
TEP,SCALING,7,-2,pre_onset,40,-0.5398801788687706,-0.5398801788687706,-0.7446542777121067,-0.3351060800254345,0.46492575109004974,0.4666270613670349,0.0031512738205492496
TEP,SCALING,7,-1,pre_onset,40,-0.09653468430042267,-0.09653468430042267,-0.22790838330984114,0.03483901470899582,0.4663228541612625,0.4666270613670349,0.0031512738205492496
TEP,SCALING,7,0,early_fault,40,19.64992772806436,8.167571306228638,12.01157073462382,29.219013972789977,0.5285493649542332,0.4666270613670349,0.0031512738205492496
TEP,SCALING,7,1,early_fault,40,26.672665564715864,10.145834922790527,17.206239740308376,37.57778661789372,0.5506799347698689,0.4666270613670349,0.0031512738205492496
TEP,SCALING,7,2,early_fault,40,35.2430103212595,21.641727447509766,24.436529601663352,46.71425478428601,0.5776874378323555,0.4666270613670349,0.0031512738205492496
TEP,SCALING,7,3,early_fault,40,42.683605179190636,28.20963191986084,30.582721403092144,55.73163605697452,0.6011347897350788,0.4666270613670349,0.0031512738205492496
TEP,SCALING,7,4,post_onset,40,46.837487725913526,34.420101165771484,33.00430693536997,61.07951029095798,0.6142248101532459,0.4666270613670349,0.0031512738205492496
TEP,SCALING,7,5,post_onset,40,47.80808027982712,32.2883939743042,32.850644247233866,63.09420772649344,0.6172834135591984,0.4666270613670349,0.0031512738205492496
TEP,SCALING,7,6,post_onset,40,47.86592893451452,30.93100643157959,32.17517023228109,64.42081746205687,0.6174657106399536,0.4666270613670349,0.0031512738205492496
TEP,SCALING,7,7,post_onset,40,48.880531650781634,33.18809700012207,34.131595806796106,64.74402546463534,0.6206630013883114,0.4666270613670349,0.0031512738205492496
TEP,SCALING,7,8,post_onset,40,49.16773858908564,35.61286544799805,34.077370568565094,64.8743615063978,0.6215680688619614,0.4666270613670349,0.0031512738205492496
TEP,SCALING,7,9,post_onset,40,49.180965702235696,31.829586029052734,32.53977570725605,65.26009420575573,0.6216097511351109,0.4666270613670349,0.0031512738205492496
TEP,SCALING,7,10,post_onset,40,48.937413493916395,26.9717378616333,32.9629914287012,65.2734080777131,0.6208422511816025,0.4666270613670349,0.0031512738205492496
TEP,SCALING,7,11,post_onset,40,47.61500740670599,24.242976188659668,32.06656316690613,63.59885725539061,0.6166749879717827,0.4666270613670349,0.0031512738205492496
TEP,SCALING,7,12,post_onset,40,45.92184351496398,21.07907009124756,31.162135217059404,62.15383457514456,0.6113393642008305,0.4666270613670349,0.0031512738205492496
TEP,UNIFORM_DIFFUSION,7,-7,pre_onset,40,-1.1952415704727173,-1.1952415704727173,-1.3437882828712462,-1.0473112344741822,0.36420978605747223,0.38296905159950256,0.015694957226514816
TEP,UNIFORM_DIFFUSION,7,-6,pre_onset,40,-0.6422792822122574,-0.6422792822122574,-0.7811843022704125,-0.5033742621541023,0.3728885054588318,0.38296905159950256,0.015694957226514816
