run_id,dataset,outer_seed,model_seed,method,group_id,fault_id,windows,macro_f1,auprc,far,fault_recall,early_recall,detection_delay
3w-outer31001-seed42-jitter_scaling,3W,31001,42,JITTER_SCALING,WELL-00013,,319,0.776551138998234,1.0,0.0,0.6536585365853659,0.6098901098901099,2299.0
3w-outer31001-seed42-jitter_scaling,3W,31001,42,JITTER_SCALING,WELL-00016,,2007,0.019988895058300944,1.0,0.9690898683457355,1.0,1.0,6.0
3w-outer31001-seed42-jitter_scaling,3W,31001,42,JITTER_SCALING,WELL-00019,,34543,0.34970552994016796,0.902761184295678,0.8410086812732535,0.9546952957947256,0.9693372898120672,19.0
3w-outer31001-seed42-jitter_scaling,3W,31001,42,JITTER_SCALING,WELL-00020,,120,0.0,0.976190476190476,1.0,1.0,1.0,21.0
3w-outer31001-seed42-jitter_scaling,3W,31001,42,JITTER_SCALING,WELL-00029,,4488,0.3096654766627,0.98076279570245,1.0,1.0,1.0,27.0
3w-outer31001-seed42-no_aug,3W,31001,42,NO_AUG,WELL-00006,,63214,0.22004244398381206,0.0,0.7178789508653146,nan,,
3w-outer31001-seed42-no_aug,3W,31001,42,NO_AUG,WELL-00008,,31509,1.0,0.0,0.0,nan,,
3w-outer31001-seed42-no_aug,3W,31001,42,NO_AUG,WELL-00011,,3529,0.04578155657292348,0.9876655373738296,0.922850844966936,0.9709409594095941,0.964123006833713,168.30769230769232
3w-outer31001-seed42-no_aug,3W,31001,42,NO_AUG,WELL-00013,,319,0.2835820895522388,1.0,0.0,0.8048780487804879,0.7802197802197802,1307.0
3w-outer31001-seed42-no_aug,3W,31001,42,NO_AUG,WELL-00016,,2007,0.009034443817052514,1.0,0.9862621637092158,1.0,1.0,6.0
3w-outer31001-seed42-no_aug,3W,31001,42,NO_AUG,WELL-00019,,34543,0.39291396376108884,0.87677714348379,0.9991732120711038,0.992248752672844,0.9918044369082945,19.0
3w-outer31001-seed42-no_aug,3W,31001,42,NO_AUG,WELL-00020,,120,0.0,1.0,1.0,1.0,1.0,21.0
3w-outer31001-seed42-no_aug,3W,31001,42,NO_AUG,WELL-00029,,4488,0.3302809443717685,0.9819884499606796,1.0,1.0,1.0,27.0
3w-outer31001-seed42-scaling,3W,31001,42,SCALING,WELL-00006,,63214,0.3070995604564238,0.0,0.5567912171354447,nan,,
3w-outer31001-seed42-scaling,3W,31001,42,SCALING,WELL-00008,,31509,1.0,0.0,0.0,nan,,
3w-outer31001-seed42-scaling,3W,31001,42,SCALING,WELL-00011,,3529,0.5274819018516498,0.9881495760256944,0.0,0.834870848708487,0.7961275626423691,894.4615384615385
3w-outer31001-seed42-scaling,3W,31001,42,SCALING,WELL-00013,,319,0.5577989392478303,1.0,0.0,0.32682926829268294,0.24175824175824176,4443.0
3w-outer31001-seed42-scaling,3W,31001,42,SCALING,WELL-00016,,2007,0.021421975992613113,1.0,0.9668002289639381,1.0,1.0,6.0
3w-outer31001-seed42-scaling,3W,31001,42,SCALING,WELL-00019,,34543,0.4046861903646695,0.9026957242049926,0.7278214138073584,0.9540716322166786,0.9686778766897461,19.0
