run_id,dataset,outer_seed,model_seed,method,track,evidence_source,macro_f1,auprc,far,fault_recall,early_recall,detection_delay,prediction_path,prediction_sha256,checkpoint_sha256
3w-outer31001-seed44-final_qdiffcl,3W,31001,44,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FROZEN_PAPER_FINAL_REUSE,0.34630133410002184,0.8147592216727426,0.4052366404030659,0.9740526145319753,0.9722072315164598,576.4285714285714,outputs\paper_final\3w\outer_31001\model_seed_44\FINAL_QDIFFCL\predictions.npz,b7d009bbf8a71a3fe25ed9bb9554d1aa23b44ec7d9cae11607afb0b7fbd4b0a9,007b9a4235d89291af1dbe2682005953621b53c8fc44c5e420cbafc6dc1887d5
3w-outer31002-seed42-final_qdiffcl,3W,31002,42,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FROZEN_PAPER_FINAL_REUSE,0.12558438107023245,0.6654283971256907,0.9831282534116857,0.7876566125290023,0.7648268064549285,5122.7,outputs\paper_final\3w\outer_31002\model_seed_42\FINAL_QDIFFCL\predictions.npz,c00fcf1877f6a1837cd52ba23189901017615248ee2549e66a7dcaf8bba38159,443348c9f97d7b664dcc75612bd1e53c06c834d8430a6562b5ddcb45ea73c201
3w-outer31002-seed43-final_qdiffcl,3W,31002,43,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FROZEN_PAPER_FINAL_REUSE,0.2787158916665379,0.6576519053973517,0.9234548661839983,0.965754060324826,0.9620721554116559,13.666666666666666,outputs\paper_final\3w\outer_31002\model_seed_43\FINAL_QDIFFCL\predictions.npz,2ea84abb70be1e03cc4c3560a48d12572c0179d6cd936a6f66b65228da08ba70,2b7122f6d88573f2ae2d9498418be5d46871730bc9e52874b92de00730aa7de5
3w-outer31002-seed44-final_qdiffcl,3W,31002,44,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FROZEN_PAPER_FINAL_REUSE,0.2081748042810227,0.6568213848114043,0.7956018743980173,0.7864501160092807,0.7634905951279679,4141.2,outputs\paper_final\3w\outer_31002\model_seed_44\FINAL_QDIFFCL\predictions.npz,cc909845d1d13ecce47547c98badedc9ae20dc68f4f6dca03e6f9d641af74228,f2c6726c8b6c12c60a8cb610c82dbb94784980a578364d999a3b65de8a137da8
3w-outer31003-seed42-final_qdiffcl,3W,31003,42,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FROZEN_PAPER_FINAL_REUSE,0.33972689035572823,0.8497885286406217,0.8954758702142318,0.9865886402753873,0.9862840231634962,74.92857142857143,outputs\paper_final\3w\outer_31003\model_seed_42\FINAL_QDIFFCL\predictions.npz,e045bf8b48b0a852c0ffcbb7956657decdd14f2af281c34f5e119a457b1f778c,f731d405e14e0b0945d133c978c9d09205ac27bbaf1aae7bfaaf2d7e6c93b273
3w-outer31003-seed43-final_qdiffcl,3W,31003,43,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FROZEN_PAPER_FINAL_REUSE,0.36245776971580096,0.868351973209395,0.863587152652472,0.944908777969019,0.9433006559196392,67.76923076923077,outputs\paper_final\3w\outer_31003\model_seed_43\FINAL_QDIFFCL\predictions.npz,3587440c2bc81b779471a65c7b84ddd2d11b4b65a5229cbe7c8973147a8924a0,9f50b07abfa01bbd3e9f8a0b88791df5ef294287d69da4a5e8ec4b5397fb4d0f
3w-outer31003-seed44-final_qdiffcl,3W,31003,44,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FROZEN_PAPER_FINAL_REUSE,0.255717458673786,0.8781018682834235,0.7807158557790099,0.9301617900172117,0.9331559552096524,84.72727272727273,outputs\paper_final\3w\outer_31003\model_seed_44\FINAL_QDIFFCL\predictions.npz,d7b943af788a692fdb04c1690bb8355814c6664a5bd9ad7fd821ac3da41b1e5f,34517d2bb6654227fd4dc1be4ab5fd02471742ead50b801d5ddbc942433e21bd
3w-outer31001-seed42-frera,3W,31001,42,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FROZEN_PAPER_FINAL_REUSE,0.37902638979470005,0.8205735200983688,0.39282842900787907,0.8387015510850397,0.8563333590316861,431.6666666666667,outputs\paper_final\3w\outer_31001\model_seed_42\FRERA\predictions.npz,9aacf0eb5edc71c4170273da57e550ebb6a839ca4f8f9f7baf98a6a10f357375,ae2cc89735a36bf83d0f8de2d5694da8c3417c2ba6a7648a5b625c71b25f1a92
3w-outer31001-seed43-frera,3W,31001,43,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FROZEN_PAPER_FINAL_REUSE,0.4896221561018782,0.859564984096958,0.1669971949759697,0.838089754201605,0.8556780510369285,431.6666666666667,outputs\paper_final\3w\outer_31001\model_seed_43\FRERA\predictions.npz,10c25fd7b9ab296dc37ededae572c69ddc832569d7198c410cbe1577924741d6,13bf5cb6634580fb851a44cd760b2c0477e512001f61fa0f0b32e3f9b8cc48d9
3w-outer31001-seed44-frera,3W,31001,44,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FROZEN_PAPER_FINAL_REUSE,0.4339835717643068,0.8023794833177671,0.06765110503653678,0.8664843272033684,0.8760311464035155,611.4761904761905,outputs\paper_final\3w\outer_31001\model_seed_44\FRERA\predictions.npz,4b81b58057ae6d7c49051e29ebda9a4125d34e05fd8dd6325f385fb1364be940,d73605722e265ebdf6c6cd34d4913457cbeb2f5e71a18a60e3b3b08b98f6720c
3w-outer31002-seed42-frera,3W,31002,42,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FROZEN_PAPER_FINAL_REUSE,0.14015012080565503,0.6179261514685522,0.9771003105959764,0.7465429234338747,0.7192928358515778,4814.875,outputs\paper_final\3w\outer_31002\model_seed_42\FRERA\predictions.npz,abacbbaa43c836695987b6e511a71dbed386564581dd5e9d8e77ebc172c33eae,ef5e4da6184162aad3152c0ad30dbed2fbbc3b708741f8bc39650232e70f4e66
3w-outer31002-seed43-frera,3W,31002,43,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FROZEN_PAPER_FINAL_REUSE,0.2607340965336622,0.4517887602982188,0.9667867926366027,0.9496055684454756,0.9579607359440847,19.0,outputs\paper_final\3w\outer_31002\model_seed_43\FRERA\predictions.npz,e4e3004c4cab005b7b0f2e97bc242907d89a07d3b0633284c1ed17a178e2ba78,4c5a6e763839e1f89d4fcad3185d13b1c60291e24193cd4b32341b479b3e0b02
3w-outer31002-seed44-frera,3W,31002,44,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FROZEN_PAPER_FINAL_REUSE,0.26238415086029215,0.7209397159124538,0.9940045236626517,0.9637122969837587,0.9598108747044918,13.666666666666666,outputs\paper_final\3w\outer_31002\model_seed_44\FRERA\predictions.npz,2afba3eaf50485e3a804e1beec7624f3b2ec10b00d38cf618de6ff64a767e7d5,1829d31b6465ddb2d847a947c05a845524d93275fcf0120aba4907e1163e5503
3w-outer31003-seed42-frera,3W,31003,42,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FROZEN_PAPER_FINAL_REUSE,0.36692456109586236,0.8570054094724942,0.6845575932548145,0.6703201376936316,0.6630052786591352,78.1,outputs\paper_final\3w\outer_31003\model_seed_42\FRERA\predictions.npz,349720afcda43f45c82c43f71a394ab0356783e44657ba0a77ab8dc0b3cb9139,d97886a030a51c06e91c005dd0ea8673bbe229ee1e4fc0af0d1597383c2ade2f
3w-outer31003-seed43-frera,3W,31003,43,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FROZEN_PAPER_FINAL_REUSE,0.2929814029124788,0.8662141927345399,0.7112299465240641,0.8480275387263339,0.8429634477754222,64.08333333333333,outputs\paper_final\3w\outer_31003\model_seed_43\FRERA\predictions.npz,b932caef252e28fd2107c1e7958a6a300d65815b0d2ba3779fc72f7ae18c1829,1474355aa467cc846f40e94a9c6c1ddd34494336ad748c3de34966a537d2df5c
