auprc_mean,auprc_std,dataset,early_recall_mean,early_recall_std,far_mean,far_std,macro_f1_mean,macro_f1_std,method,rho,scope
0.600379405675602,0.08019485564748269,3W,0.8948179823327519,0.05016060567967983,0.4041556114537748,0.11922672645952241,0.5396295943461002,0.03544780474177104,DCBR,1.0,existing development locked test
0.5943342727042402,0.07335373493164388,3W,0.9049794632307432,0.020615088565316818,0.4489645429171979,0.056046157590288644,0.5123665053482634,0.07968887258835028,SCALING,0.0,existing development locked test
0.600379405675602,0.08019485564748269,3W,0.8948179823327519,0.05016060567967983,0.4041556114537748,0.11922672645952241,0.5396295943461002,0.03544780474177104,FINAL_QDIFFCL,1.0,existing development locked test
0.6317707204164639,0.06100048372771211,3W,0.8901798777863844,0.02841182758454912,0.33795644772517397,0.060593012265318914,0.4113723033753865,0.09085943849045788,GLOBAL_RHO_075,0.75,validation mechanism reference
0.938211234262394,0.0016135009146715017,TEP,0.7925,0.014252192813739227,0.024765625,0.003691354579664828,0.9023584199880195,0.0017731906985554158,DCBR,0.75,existing development locked test
0.9383367695574037,0.0012900298678961638,TEP,0.79375,0.019764235376052354,0.017890625,0.0048585333877300355,0.9048191341623663,0.0025835556180666686,SCALING,0.0,existing development locked test
0.9299089582414012,0.006023998854553126,TEP,0.76375,0.02396286189085099,0.029687500000000002,0.015065672480997572,0.8902808144625703,0.006844878223255395,FINAL_QDIFFCL,1.0,existing development locked test
0.9955555855821877,0.0003143759521990981,TEP,0.9979166666666667,0.0036084391824351483,0.04538690476190476,0.004225378233482347,0.9736140081911184,0.0013183028576444493,GLOBAL_RHO_075,0.75,validation mechanism reference
