auprc_mean,auprc_std,dataset,delay_mean,delay_std,early_recall_mean,early_recall_std,far_mean,far_std,macro_f1_mean,macro_f1_std,method,reason,seeds,support
0.5631111451272601,0.14822209724060648,3W,315.38790231507625,380.798075284352,0.8646204917571597,0.0774212116552429,0.44163192171186383,0.05500880737439176,0.4834861610347566,0.08051963760081775,UNIFORM_DIFFUSION,,42/43/44/45/46,SUPPORTED
0.600379405675602,0.08019485564748269,3W,313.1399962356484,370.3443961640213,0.8948179823327519,0.05016060567967983,0.4041556114537748,0.11922672645952241,0.5396295943461002,0.03544780474177104,FINAL_QDIFFCL,,42/43/44/45/46,SUPPORTED
,,3W,,,,,,,,,HARD_MASK_SELECTIVE,no protocol-aligned 3-seed result in inventory,,UNSUPPORTED / DO NOT CLAIM
,,3W,,,,,,,,,SOFT_MASK_WO_BUDGET_MATCH,no protocol-aligned 3-seed result in inventory,,UNSUPPORTED / DO NOT CLAIM
0.9297887385283906,0.005997400423992987,TEP,113.75899159663865,9.842188546051776,0.76375,0.02396286189085099,0.03109375,0.016100195917868515,0.8894263492450051,0.007337314421617349,UNIFORM_DIFFUSION,,7/42/43/44/2026,SUPPORTED
0.9299089582414012,0.006023998854553126,TEP,113.75899159663865,9.842188546051776,0.76375,0.02396286189085099,0.029687500000000002,0.015065672480997572,0.8902808144625703,0.006844878223255395,FINAL_QDIFFCL,,7/42/43/44/2026,SUPPORTED
,,TEP,,,,,,,,,HARD_MASK_SELECTIVE,no protocol-aligned 3-seed result in inventory,,UNSUPPORTED / DO NOT CLAIM
,,TEP,,,,,,,,,SOFT_MASK_WO_BUDGET_MATCH,no protocol-aligned 3-seed result in inventory,,UNSUPPORTED / DO NOT CLAIM
,,3W,,,0.8497627487387235,0.10179627150182625,0.42875848523482996,0.050334304855113615,0.4541632044485176,0.07875879539697529,UNIFORM,,,SUPPORTED
,,3W,,,0.8898516476303007,0.05384685524498165,0.3749239056774979,0.157470578089588,0.512818887951409,0.03649464418261601,D_ONLY,,,SUPPORTED
,,3W,,,0.8302012415836756,0.13710398538296667,0.3840896821841655,0.08788039351679436,0.46277772680237395,0.09367985806455613,E_ONLY,,,SUPPORTED
,,3W,,,0.8878542358258782,0.05411074319241037,0.3555356466007374,0.12791474311736256,0.5187882041051177,0.023795359143154993,FINAL_DE,,,SUPPORTED
,,TEP,,,0.7708333333333334,0.029536347664078758,0.03828125,0.016420194966393516,0.8845988968806314,0.004375097666821295,UNIFORM,,,SUPPORTED
,,TEP,,,0.76875,0.02864109809347396,0.03268229166666667,0.00952302838709716,0.8872367847487822,0.005870811293770684,D_ONLY,,,SUPPORTED
,,TEP,,,0.775,0.034798527267687625,0.04283854166666667,0.02090604174348191,0.8837073893118976,0.00500794644465206,E_ONLY,,,SUPPORTED
,,TEP,,,0.7708333333333334,0.029536347664078758,0.035546875,0.016522098423872346,0.8860837487471575,0.005170650870875187,FINAL_DE,,,SUPPORTED
