ci_high,ci_low,comparison,dataset,effect,groups,metric
0.06378345691058275,-0.009980907825844747,FINAL_QDIFFCL-FRERA,3W,0.025817220513474813,40,macro_f1
0.04203986128263396,-0.15216601803736113,FINAL_QDIFFCL-FRERA,3W,-0.05544552326312015,40,far
0.032241999327883686,-0.025970781683918302,FINAL_QDIFFCL-JITTER_SCALING,3W,0.003416805526501142,40,macro_f1
0.11538253115819284,-0.044153695784335326,FINAL_QDIFFCL-JITTER_SCALING,3W,0.03002477424877555,40,far
0.0033005319148936107,-0.013510638297872335,DCBR-FINAL_QDIFFCL,TEP,-0.004787234042553188,100,recall
0.0011937329018726708,-0.013760347091959923,DCBR-FINAL_QDIFFCL,TEP,-0.006058854919001793,100,f1
16.16874999999999,-32.168749999999996,DCBR-FINAL_QDIFFCL,TEP,-7.25,96,mean_delay_samples
0.005638297872340422,0.0012765957446808482,DCBR-SCALING,TEP,0.0032978723404255296,100,recall
0.0050581935878986194,-0.0003928760759503068,DCBR-SCALING,TEP,0.0020561054695308416,100,f1
2.752688172043011,-26.9247311827957,DCBR-SCALING,TEP,-9.376344086021506,93,mean_delay_samples
