dataset,task,method,accuracy,macro_f1,macro_recall,classes,train,test
3W,identity,R1,0.617937465715853,0.5066964913114549,0.596814032224085,20,8509,3646
3W,identity,DSFD,0.6187602852441031,0.5083363525325602,0.5970156041428927,20,8509,3646
3W,fault,R1,0.837126405264601,0.7870845415776098,0.7695310112345815,4,8508,3647
3W,fault,DSFD,0.836303811351796,0.7864124539312937,0.7688866578648184,4,8508,3647
TEP,identity,R1,0.35131048387096775,0.3513054946792562,0.35131048387096775,248,4720,1984
TEP,identity,DSFD,0.35080645161290325,0.35083920954678716,0.35080645161290325,248,4720,1984
TEP,fault,R1,0.7528592739930383,0.7297552412855693,0.7361662691313855,2,4693,2011
TEP,fault,DSFD,0.7528592739930383,0.7297552412855693,0.7361662691313855,2,4693,2011
