seed,method,accuracy,macro_f1,auprc,auroc,fault_recall,far,early_recall,middle_recall,stable_recall,mean_delay,median_delay,detected_run_rate,missed_fault_runs
7,C1,0.8945945945945946,0.8894703650022682,0.9314254491347816,0.9176350565159573,0.8021276595744681,0.0375,0.79375,0.8125,0.8007142857142857,103.0,95.0,0.85,6
7,R1,0.8972972972972973,0.8919923795476893,0.9316358253276307,0.9178956117021275,0.7978723404255319,0.0296875,0.79375,0.80625,0.7964285714285714,103.0,95.0,0.85,6
7,R2,0.8972972972972973,0.8919696731365483,0.9314331889566952,0.917692299700798,0.7973404255319149,0.029296875,0.79375,0.80625,0.7957142857142857,103.0,95.0,0.85,6
42,C1,0.888063063063063,0.8833220753916375,0.9308804677712986,0.9161563954454788,0.8106382978723404,0.055078125,0.78125,0.815625,0.8128571428571428,121.97142857142858,95.0,0.875,5
42,R1,0.890990990990991,0.886470233092731,0.931524460087071,0.9160717253989362,0.8164893617021277,0.054296875,0.7875,0.81875,0.8192857142857143,121.97142857142858,95.0,0.875,5
42,R2,0.8912162162162162,0.8867153978724669,0.9314947997640338,0.9160797249002659,0.8170212765957446,0.054296875,0.7875,0.81875,0.82,121.97142857142858,95.0,0.875,5
2026,C1,0.8878378378378379,0.8810042502479886,0.9194835723399148,0.8996381524268616,0.7654255319148936,0.022265625,0.7375,0.790625,0.7628571428571429,126.05882352941177,95.0,0.85,6
2026,R1,0.8878378378378379,0.8809769629983866,0.919484986850244,0.8996913439162233,0.7648936170212766,0.021875,0.7375,0.7875,0.7628571428571429,126.05882352941177,95.0,0.85,6
2026,R2,0.888063063063063,0.8812295892622868,0.9194367504547405,0.8996510347406914,0.7654255319148936,0.021875,0.7375,0.790625,0.7628571428571429,126.05882352941177,95.0,0.85,6
