row_type,dataset,comparison,metric,seed,delta,directional_benefit,mean_delta,std_delta,positive_seed_count,nonworse_seed_count,loso_mean_min,loso_mean_max,loso_mean_range
summary,TEP,FINAL_QDIFFCL-CURRENT_R1,macro_f1,,,,-0.0004782207719680187,0.000392198036951248,0,1,-0.0005977759649600234,-0.00034808260197602414,0.00024969336298399925
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,auprc,7,-0.00013638398165805032,-0.00013638398165805032,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,auprc,42,9.926202366239423e-05,9.926202366239423e-05,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,auprc,43,-6.0892558590874835e-05,-6.0892558590874835e-05,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,auprc,44,8.753040995213013e-05,8.753040995213013e-05,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,auprc,2026,-1.9777382612717886e-05,-1.9777382612717886e-05,,,,,,,
summary,TEP,FINAL_QDIFFCL-CURRENT_R1,auprc,,,,-6.052297849423738e-06,0.00010003875432714482,2,2,-3.238087822737823e-05,2.653062310273291e-05,5.891150133011114e-05
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,fault_recall,7,0.0,0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,fault_recall,42,-0.0015957446808511078,-0.0015957446808511078,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,fault_recall,43,0.0005319148936170359,0.0005319148936170359,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,fault_recall,44,0.0031914893617022155,0.0031914893617022155,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,fault_recall,2026,0.0,0.0,,,,,,,
summary,TEP,FINAL_QDIFFCL-CURRENT_R1,fault_recall,,,,0.0004255319148936287,0.0017399390674251677,2,4,-0.00026595744680851796,0.0009308510638298129,0.0011968085106383308
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,far,7,0.0011718750000000028,-0.0011718750000000028,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,far,42,-0.0003906249999999986,0.0003906249999999986,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,far,43,0.0007812500000000007,-0.0007812500000000007,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,far,44,0.004296875000000002,-0.004296875000000002,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,far,2026,0.0,-0.0,,,,,,,
summary,TEP,FINAL_QDIFFCL-CURRENT_R1,far,,,,0.0011718750000000015,0.0018528970665049104,1,2,0.0003906250000000012,0.0015625000000000014,0.0011718750000000002
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,early_recall,7,0.0,0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,early_recall,42,-0.006249999999999978,-0.006249999999999978,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,early_recall,43,0.0,0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,early_recall,44,0.006249999999999978,0.006249999999999978,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,early_recall,2026,0.0,0.0,,,,,,,
summary,TEP,FINAL_QDIFFCL-CURRENT_R1,early_recall,,,,0.0,0.004419417382415906,1,4,-0.0015624999999999944,0.0015624999999999944,0.003124999999999989
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,mean_detection_delay_samples,7,0.0,-0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,mean_detection_delay_samples,42,0.0,-0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,mean_detection_delay_samples,43,0.0,-0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,mean_detection_delay_samples,44,-2.352941176470594,2.352941176470594,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,mean_detection_delay_samples,2026,0.0,-0.0,,,,,,,
summary,TEP,FINAL_QDIFFCL-CURRENT_R1,mean_detection_delay_samples,,,,-0.4705882352941188,1.0522672835293154,1,5,-0.5882352941176485,0.0,0.5882352941176485
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,detected_rate,7,0.0,0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,detected_rate,42,0.0,0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,detected_rate,43,0.0,0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,detected_rate,44,0.0,0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,detected_rate,2026,0.0,0.0,,,,,,,
summary,TEP,FINAL_QDIFFCL-CURRENT_R1,detected_rate,,,,0.0,0.0,0,5,0.0,0.0,0.0
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,missed_runs,7,0.0,-0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,missed_runs,42,0.0,-0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,missed_runs,43,0.0,-0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,missed_runs,44,0.0,-0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,missed_runs,2026,0.0,-0.0,,,,,,,
summary,TEP,FINAL_QDIFFCL-CURRENT_R1,missed_runs,,,,0.0,0.0,0,5,0.0,0.0,0.0
