comparison,seed,macro_f1,recall_macro,auprc_fault_vs_normal,auprc_multiclass_macro,far,early_recall,mean_detection_delay_seconds,class_0_recall,class_0_f1,class_2_recall,class_2_f1,class_8_recall,class_8_f1,class_9_recall,class_9_f1
RRDC-R1,42,0.0020085227968218433,0.0031679657572932785,-0.011508227676479743,0.00026144535440308925,-0.01678095172461319,-0.006808079671411615,81.4545454545455,0.016780951724613247,0.008304432680727447,0.0,-0.004853906919196682,-0.004109088695440355,0.004284183120863427,0.0,0.0002993823048931827
RRDC-R1,43,-0.06674339054770045,-0.15220236316829727,-0.005547602747231428,0.0024709829927072047,-0.02784190758416316,-0.029117200247566477,-21.333333333333314,0.02784190758416316,0.009235677309746726,-0.1683650863978733,-0.16834872929000516,-0.0007000669629269041,-0.006614897539355846,-0.4675862068965517,-0.10124561267118709
RRDC-R1,44,0.09698108973029135,0.11223104489140096,0.4334184666000607,0.17413486779602283,-0.06037007684090828,0.14142238226523374,411.5416666666667,0.06037007684090834,0.09924365255621614,0.00044306601683652413,-0.02197783757342653,0.388111036707859,0.3099123589733025,0.0,0.0007461849650728696
RRDC-R2,42,0.024903140694968573,0.026565975902582917,-0.003587587180693408,0.007051501294593421,-0.11153991936873298,-0.020171045968603973,759.2727272727273,0.11153991936873298,0.07244819474017938,0.0004430660168364686,-0.008402246976553451,-0.006178851890180748,0.03281663253109024,0.0004597701149425294,0.002749982485158075
RRDC-R2,43,0.014678286701432008,0.010098505140736291,-0.004191002682525591,0.02256851078320954,-0.015816133144963995,0.06146964496708496,196.9069264069264,0.015816133144963995,0.04568407824768217,-0.0022153300841825097,0.004612983300737172,0.003804711755037382,0.003211896541049142,0.022988505747126436,0.00520418871625981
RRDC-R2,44,0.0018062949806101347,0.005452947865338897,-0.0020279573530419537,0.01738883577996342,-0.021811791461355534,-0.012772182524053322,443.82608695652175,0.02181179146135559,0.007893677277612032,0.0,-0.0015185048347041707,0.0,0.0006615902872267876,0.0,0.0001884171923054298
RRDC-HFSC,42,0.037228429579090394,0.036468782657685606,-0.00128885277898938,0.008683749567421684,-0.16384686950828709,-0.02464412310808528,949.8181818181819,0.16384686950828709,0.11280233348270696,0.0004430660168364686,-0.007961608191411895,-0.018414804894381187,0.043295198121045986,0.0,0.0007777949040205841
RRDC-HFSC,43,-0.00029946642856376604,-0.004662461040723653,-0.00022306119004156244,0.0035198605456123744,-0.002928913545363676,-0.0011253024250267307,-6.095238095238074,0.0029289135453637316,0.0018782364370643068,0.0,0.002254792774657677,3.0437694040319485e-05,-0.0002354385125312719,-0.02160919540229885,-0.00509545641344575
RRDC-HFSC,44,-0.01055833726203681,-0.01935480507481957,0.013980161568469263,0.02188736927675272,0.07318838082767654,-0.004613739942609607,6.95652173913038,-0.07318838082767654,-0.046679263922258074,0.0,0.00681540146080839,-0.004230839471601633,-0.00173582965039909,0.0,-0.0006336569362988325
