dataset,channel,frequency_bin,unsafe_rate,safe_prob,valid_support
3W,4,9,0.0,1.0,11
3W,4,10,0.0,1.0,11
3W,4,11,0.0,1.0,11
3W,4,12,0.0,1.0,11
3W,4,13,0.0,1.0,11
3W,4,14,0.0,1.0,11
3W,4,15,0.0,1.0,11
3W,4,16,0.0,1.0,11
3W,4,17,0.0,1.0,11
3W,4,18,0.0,1.0,11
3W,4,19,0.0,1.0,11
3W,4,20,0.0,1.0,11
3W,4,21,0.0,1.0,11
3W,4,22,0.0,1.0,11
3W,4,23,0.0,1.0,11
3W,4,24,0.0,1.0,11
3W,4,25,0.0,1.0,11
3W,4,26,0.0,1.0,11
3W,4,27,0.0,1.0,11
3W,4,28,0.0,1.0,11
3W,4,29,0.0,1.0,11
3W,4,30,0.0,1.0,11
3W,4,31,0.0,1.0,11
3W,4,32,0.0,1.0,11
3W,5,0,0.18181819,0.8181818,11
3W,5,1,0.0,1.0,11
3W,5,2,0.0,1.0,11
3W,5,3,0.0,1.0,11
3W,5,4,0.0,1.0,11
3W,5,5,0.0,1.0,11
3W,5,6,0.0,1.0,11
3W,5,7,0.0,1.0,11
3W,5,8,0.0,1.0,11
3W,5,9,0.0,1.0,11
3W,5,10,0.0,1.0,11
3W,5,11,0.0,1.0,11
3W,5,12,0.0,1.0,11
3W,5,13,0.0,1.0,11
3W,5,14,0.0,1.0,11
3W,5,15,0.0,1.0,11
3W,5,16,0.0,1.0,11
3W,5,17,0.0,1.0,11
3W,5,18,0.0,1.0,11
3W,5,19,0.0,1.0,11
3W,5,20,0.0,1.0,11
3W,5,21,0.0,1.0,11
3W,5,22,0.0,1.0,11
3W,5,23,0.0,1.0,11
3W,5,24,0.0,1.0,11
3W,5,25,0.0,1.0,11
3W,5,26,0.0,1.0,11
3W,5,27,0.0,1.0,11
3W,5,28,0.0,1.0,11
3W,5,29,0.0,1.0,11
3W,5,30,0.0,1.0,11
3W,5,31,0.0,1.0,11
3W,5,32,0.0,1.0,11
3W,6,0,0.45454547,0.54545456,11
3W,6,1,0.09090909,0.90909094,11
3W,6,2,0.09090909,0.90909094,11
3W,6,3,0.0,1.0,11
3W,6,4,0.0,1.0,11
3W,6,5,0.0,1.0,11
3W,6,6,0.09090909,0.90909094,11
3W,6,7,0.09090909,0.90909094,11
3W,6,8,0.09090909,0.90909094,11
3W,6,9,0.0,1.0,11
3W,6,10,0.09090909,0.90909094,11
3W,6,11,0.09090909,0.90909094,11
3W,6,12,0.09090909,0.90909094,11
3W,6,13,0.09090909,0.90909094,11
3W,6,14,0.09090909,0.90909094,11
3W,6,15,0.0,1.0,11
3W,6,16,0.09090909,0.90909094,11
3W,6,17,0.09090909,0.90909094,11
3W,6,18,0.09090909,0.90909094,11
3W,6,19,0.09090909,0.90909094,11
3W,6,20,0.09090909,0.90909094,11
3W,6,21,0.09090909,0.90909094,11
3W,6,22,0.09090909,0.90909094,11
3W,6,23,0.09090909,0.90909094,11
3W,6,24,0.09090909,0.90909094,11
3W,6,25,0.09090909,0.90909094,11
3W,6,26,0.09090909,0.90909094,11
3W,6,27,0.09090909,0.90909094,11
3W,6,28,0.09090909,0.90909094,11
3W,6,29,0.09090909,0.90909094,11
3W,6,30,0.09090909,0.90909094,11
3W,6,31,0.09090909,0.90909094,11
3W,6,32,0.09090909,0.90909094,11
3W,7,0,0.0,1.0,11
3W,7,1,0.0,1.0,11
3W,7,2,0.0,1.0,11
3W,7,3,0.0,1.0,11
3W,7,4,0.0,1.0,11
3W,7,5,0.0,1.0,11
3W,7,6,0.0,1.0,11
3W,7,7,0.0,1.0,11
3W,7,8,0.0,1.0,11
3W,7,9,0.0,1.0,11
3W,7,10,0.0,1.0,11
3W,7,11,0.0,1.0,11
3W,7,12,0.0,1.0,11
3W,7,13,0.0,1.0,11
3W,7,14,0.0,1.0,11
3W,7,15,0.0,1.0,11
3W,7,16,0.0,1.0,11
3W,7,17,0.0,1.0,11
3W,7,18,0.0,1.0,11
3W,7,19,0.0,1.0,11
3W,7,20,0.0,1.0,11
3W,7,21,0.0,1.0,11
3W,7,22,0.0,1.0,11
3W,7,23,0.0,1.0,11
3W,7,24,0.0,1.0,11
3W,7,25,0.0,1.0,11
3W,7,26,0.0,1.0,11
3W,7,27,0.0,1.0,11
3W,7,28,0.0,1.0,11
3W,7,29,0.0,1.0,11
3W,7,30,0.0,1.0,11
3W,7,31,0.0,1.0,11
3W,7,32,0.0,1.0,11
3W,8,0,0.0,1.0,11
