comparison,seed,macro_f1,recall_macro,auprc_fault_vs_normal,auprc_multiclass_macro,far,early_recall,mean_detection_delay_seconds,class_0_recall,class_0_f1,class_2_recall,class_2_f1,class_8_recall,class_8_f1,class_9_recall,class_9_f1
R3-UNIFORM,42,-0.006360227209305569,-0.005526320079420111,-0.03234243651785906,-0.012483244782814373,0.05427104510526859,0.01702019917852926,-941.0909090909091,-0.05427104510526859,-0.03170948915579819,-0.0017722640673459855,0.005386750232982074,0.03393802885493402,-1.0882465013462017e-05,0.0,0.0008927125506072876
R3-UNIFORM,43,0.010648235878079504,0.03886066078598627,0.004481569499117932,-0.00491230037989332,0.010061679473484686,0.00832723794519774,21.33333333333337,-0.010061679473484797,-0.004373982293233714,0.02392556490917147,0.013064538362264178,-3.0437694040208463e-05,0.0017201753761104666,0.14160919540229885,0.03218221206717723
R3-UNIFORM,44,0.13737470619823527,0.1601906653020349,0.3507877852254705,0.20021166697549048,-0.1014437820888322,0.1058628256343892,689.6865942028986,0.1014437820888322,0.11492056976177611,0.002215330084182565,-0.023447898859304483,0.537103549035125,0.4572349923202929,0.0,0.0007911615701767086
R3-R1,42,-0.030835216313526814,-0.02959768161965881,-0.037141665823489434,-0.020331616340634406,0.14854760345956375,0.022196590333652177,-891.6363636363636,-0.14854760345956375,-0.09945256246151513,-0.0017722640673459855,0.006690279417552181,0.03192914104827427,-0.030185981967996267,0.0,-0.000392600242147996
R3-R1,43,-0.023153527390942563,-0.0792727423074141,-0.002556027684398443,-0.0035991360729985544,-0.014058785017745767,-0.01935520171045968,6.09523809523813,0.014058785017745712,0.0024759287661840768,-0.030128489144882586,-0.030902120240798525,-0.0007913800450477515,-0.0011819791821324754,-0.3002298850574713,-0.0630059389070231
R3-R1,44,0.09792454810966661,0.10738211366643674,0.4205147718538432,0.15811758079426652,-0.0410047896350918,0.14564226635908395,623.019927536232,0.04100478963509191,0.09227613653234856,0.00044306601683652413,-0.01828828123180748,0.3880805990138187,0.31722685696299135,0.0,0.0004834801751341797
R3-R2,42,-0.007940598415380085,-0.006199671474369173,-0.0292210253277031,-0.013541560400444075,0.053788635815443964,0.00883362403645982,-213.8181818181818,-0.05378863581544402,-0.03530880040206319,-0.001329198050509517,0.0031419393601954115,0.029859377853533875,-0.0016535325577694548,0.0004597701149425294,0.0020579999381168963
R3-R2,43,0.0582681498581899,0.08302812600161946,-0.0011994276196926057,0.01649839171750378,-0.0020330105785466013,0.07123164350419176,224.33549783549785,0.0020330105785465458,0.03892432970411952,0.1360212671688082,0.1420595923499438,0.0037133986729165347,0.008644814898272513,0.1903448275862069,0.043443862480423784
R3-R2,44,0.0027497533599853963,0.0006040166403746827,-0.014931652099259507,0.00137154877820711,-0.0024465042555390504,-0.008552298430203109,655.304347826087,0.0024465042555391614,0.0009261612537444508,0.0,0.0021710515069148784,-3.0437694040319485e-05,0.00797608827691565,0.0,-7.428759763326007e-05
