condition,macro_f1,macro_recall,fault_recall,binary_auroc,multiclass_auprc,far,early_recall,mean_detection_delay,detection_instance_rate,zero_recall_classes
D0,0.28818638997932167,0.3421783918742107,0.7034246757036369,0.7426233274751892,0.35300442692627376,0.447316675935489,0.9099413521390278,994.4166666666666,0.24489795918367346,"1;4;5;7"
D1,0.3311879851002453,0.4313823207390659,0.7145926731570151,0.7258417816749121,0.34799152365001884,0.6335107650750774,0.9226423919692008,1713.2777777777778,0.3673469387755102,"1;4;7"
D2,0.22265912397474907,0.44225572535545726,0.9661246253017481,0.7452075432328711,0.34312088096152915,0.909549535234766,0.9597020832583744,24.729166666666668,0.9795918367346939,"1;4;5"
D3,0.2646013679151572,0.43661437792070035,0.9531527707775155,0.7831968633256957,0.32666566651196416,0.6935330102486693,0.9520023027380995,16.893617021276597,0.9591836734693877,"4;5;7"
