seed,method,macro_f1,recall_macro,auprc_fault_vs_normal,auprc_multiclass_macro,far,early_recall,mean_detection_delay_seconds,class_0_recall,class_0_f1,class_2_recall,class_2_f1,class_8_recall,class_8_f1,class_9_recall,class_9_f1
42,UNIFORM,0.4763621262109365,0.44831988281491636,0.779062478394431,0.5165092583835524,0.4387512490954826,0.9019017610982951,965.5909090909091,0.5612487509045174,0.662194576574379,0.28178998670801947,0.42987495775599865,0.9405856212333353,0.8004558935902916,0.009655172413793104,0.012923076923076923
42,R1,0.5008371153151577,0.47239124435515506,0.7838617077000614,0.5243576299413725,0.3444746907411874,0.8967253699431722,916.1363636363636,0.6555253092588126,0.7299376498800959,0.28178998670801947,0.42857142857142855,0.9425945090399951,0.8306309930932744,0.009655172413793104,0.014208389715832206
42,R2,0.477942497417011,0.4489932342098654,0.775941067204275,0.5175675740011821,0.4392336583853072,0.9100883362403646,238.3181818181818,0.5607663416146929,0.665793887820644,0.281346920691183,0.4321197686287853,0.9446642722347355,0.8020985436830476,0.009195402298850575,0.011757789535567314
42,HFSC,0.4656172085328892,0.43909042745476273,0.773642332802571,0.5159353257283539,0.4915406085248613,0.9145614133798459,47.77272727272727,0.5084593914751387,0.6254397490781164,0.281346920691183,0.43167912984364376,0.9569002252389359,0.7916199780930918,0.009655172413793104,0.013729977116704805
43,UNIFORM,0.5194401388529075,0.4529650772363253,0.8781029772418474,0.6661251483849384,0.47334688673719033,0.9149271366679795,322.04761904761904,0.5266531132628097,0.6450714330934645,0.3938856889676562,0.561060271378984,0.8324709320021915,0.8576221758831,0.058850574712643676,0.014006675056081413
43,R1,0.5532419021219296,0.5710984803297257,0.8851405744253638,0.6648119840780436,0.4974673512284208,0.942609576323637,337.2857142857143,0.5025326487715792,0.6382215220340467,0.44793974302171025,0.6050269299820467,0.833231874353199,0.8605243304413429,0.5006896551724138,0.10919482603028176
43,R2,0.4718202248727971,0.4087976120206921,0.8837839743606579,0.6447144562875413,0.4854415767892216,0.8520227311089855,119.04545454545455,0.5145584232107784,0.6017731210961113,0.28178998670801947,0.4320652173913043,0.8287270956352347,0.8506975363609379,0.010114942528735632,0.0027450246428348617
43,HFSC,0.4867979780027929,0.42355857820215204,0.8798160328681739,0.6637631065251385,0.4725543571896213,0.9146176785010972,322.04761904761904,0.5274456428103786,0.6455789629067291,0.27957465662383696,0.4344234079173838,0.8325013696962318,0.8541448714145183,0.05471264367816092,0.013044669772540422
44,UNIFORM,0.36668734828170885,0.3022539061824409,0.538025879459154,0.32322960286964414,0.37417731987181696,0.7324593484498959,190.79166666666666,0.6258226801281831,0.6347686285474626,0.27913159060700043,0.427263479145473,0.3013027333049248,0.4042057982850143,0.002758620689655172,0.0005114871488853843
44,R1,0.4061375063702775,0.3550624578180391,0.46829889283078135,0.3653236890508681,0.31373832741807656,0.6926799077252012,257.4583333333333,0.6862616725819234,0.6574130617768902,0.2809038546743465,0.422103861517976,0.4503256833262312,0.5442139336423159,0.002758620689655172,0.0008191685439279131
44,R2,0.5013123011199587,0.46184055484410114,0.903745316783884,0.5220697210669275,0.2751800420385238,0.8468744725144882,225.17391304347825,0.7248199579614761,0.7487630370554943,0.281346920691183,0.40164452877925366,0.8384367200340902,0.8534647023283916,0.002758620689655172,0.001376936316695353
44,HFSC,0.5136769333626057,0.4866483077842596,0.8877371978623728,0.5175711875701382,0.18017986974949174,0.8387160299330445,662.0434782608696,0.8198201302505083,0.8033359782553644,0.281346920691183,0.3933106224837411,0.8426675595056918,0.8558621222660174,0.002758620689655172,0.0021990104452996153
