auprc_mean,auprc_std,count,dataset,detection_delay_mean,detection_delay_std,early_recall_mean,early_recall_std,far_mean,far_std,macro_f1_mean,macro_f1_std,p,route_ratio_mean,route_ratio_std,seeds,stage
0.6072904541804551,0.0,1,3W,1687.7777777777778,0.0,0.8582494190549961,0.0,0.4372516219254224,0.0,0.3342077531477087,0.0,0.0,0.0,0.0,42,A
0.517101621781211,0.0,1,3W,1673.5555555555557,0.0,0.8839400981151562,0.0,0.45630758609702343,0.0,0.31701211699585136,0.0,0.25,0.2505880224353175,0.0,42,A
0.5797854264590965,0.0,1,3W,1666.4444444444443,0.0,0.8856183836819004,0.0,0.43839338661568555,0.0,0.3210654772640274,0.0,0.5,0.5066039442735661,0.0,42,A
0.5716172860330314,0.0,1,3W,1875.25,0.0,0.8600568035114898,0.0,0.4333837834010426,0.0,0.31199716455615634,0.0,0.75,0.7580966166093722,0.0,42,A
0.6719519957672089,0.0,1,3W,2003.25,0.0,0.80570617092693,0.0,0.3425559597461565,0.0,0.3919751876847584,0.0,1.0,1.0,0.0,42,A
0.6042200749759489,0.02865942781489275,3,3W,1231.4814814814815,1033.2198105702062,0.9105775023668129,0.05994935068708906,0.48156507321160413,0.2184822980698864,0.3494077872361019,0.14912365821332052,0.0,0.0,0.0,42/43/44,B
0.6071828024177743,0.07823312347753629,3,3W,1498.1481481481483,544.2942801228813,0.8872536362853947,0.010656981069210501,0.3346255631378172,0.10539176529726649,0.4419048490491833,0.10835717349018822,0.25,0.25300042216995355,0.0034249492466077373,42/43/44,B
0.5984516160907205,0.033857149185722746,3,3W,1249.2592592592591,952.9242668943917,0.8661244513297186,0.04600578004801721,0.33418301868422684,0.0905098005451833,0.4200502012028952,0.09633997608101527,0.5,0.5043121645256619,0.0028107304017203003,42/43/44,B
0.6455087734661511,0.055889814988934736,3,3W,1436.1944444444443,1111.6824097252743,0.8844995266374043,0.07706958635298634,0.23517107293427625,0.14263535526832405,0.48702459511658025,0.08243316583248052,1.0,1.0,0.0,42/43/44,B
0.9951537145789771,0.0,1,TEP,110.6,0.0,0.95625,0.0,0.05357142857142857,0.0,0.9630448429709628,0.0,0.0,0.0,0.0,7,A
0.9957183520933547,0.0,1,TEP,107.4,0.0,0.99375,0.0,0.041294642857142856,0.0,0.9750139546289036,0.0,0.25,0.25,0.0,7,A
0.9955943982953283,0.0,1,TEP,110.6,0.0,0.98125,0.0,0.03794642857142857,0.0,0.9745093882161812,0.0,0.5,0.5196280991735537,0.0,7,A
0.9954692241527332,0.0,1,TEP,107.4,0.0,0.99375,0.0,0.046875,0.0,0.9729166666666667,0.0,0.75,0.7634297520661157,0.0,7,A
0.9950856907999974,0.0,1,TEP,112.6,0.0,0.95,0.0,0.04799107142857143,0.0,0.9625605538562694,0.0,1.0,1.0,0.0,7,A
0.9954896783656848,0.00037983566821462347,3,TEP,108.2,2.0784609690826494,0.9854166666666667,0.0252590742770461,0.04575892857142857,0.00678879746685069,0.9703319212664819,0.006394925956206101,0.0,0.0,0.0,7/42/2026,B
0.9956552944416313,0.00023919415434501637,3,TEP,108.2,1.385640646055097,0.99375,0.0,0.04241071428571429,0.002952847445384585,0.9736272795380178,0.0013127858529829613,0.25,0.24982782369146006,0.009556948406596365,7/42/2026,B
0.9956217435848085,0.0002466222551550895,3,TEP,108.2,2.0784609690826494,0.99375,0.01082531754730551,0.04427083333333333,0.0067273591220331575,0.97361831571054,0.0008199385952283558,0.5,0.5008608815426997,0.017304361445250993,7/42/2026,B
0.9953444260010418,0.00039434152229413284,3,TEP,109.8,2.799999999999997,0.98125,0.02724311839712924,0.04650297619047619,0.0012887282794411324,0.9699868566293429,0.006841266553545909,1.0,1.0,0.0,7/42/2026,B
