method,macro_f1,macro_recall,binary_auprc,multiclass_auprc,far,early_recall,mean_detection_delay_seconds,class_0_recall,class_0_f1,class_2_recall,class_2_f1,class_8_recall,class_8_f1,class_9_recall,class_9_f1
CLEAN_HARD_SUPCON,0.4805820693923062,0.45361115986306993,0.784289635966538,0.5286006396980205,0.43944040522380345,0.9056996567827603,937.9545454545455,0.5605595947761965,0.6668169614493882,0.28178998670801947,0.42987495775599865,0.9624398855542704,0.8111436047406495,0.009655172413793104,0.014492753623188406
UNIFORM_DIFFUSION,0.4763621262109365,0.44831988281491636,0.779062478394431,0.5165092583835524,0.4387512490954826,0.9019017610982951,965.5909090909091,0.5612487509045174,0.662194576574379,0.28178998670801947,0.42987495775599865,0.9405856212333353,0.8004558935902916,0.009655172413793104,0.012923076923076923
FREQUENCY_SELECTIVE_R1,0.5008371153151577,0.47239124435515506,0.7838617077000614,0.5243576299413725,0.3444746907411874,0.8967253699431722,916.1363636363636,0.6555253092588126,0.7299376498800959,0.28178998670801947,0.42857142857142855,0.9425945090399951,0.8306309930932744,0.009655172413793104,0.014208389715832206
