comparison,seed,macro_f1,recall_macro,multiclass_auprc,binary_auprc,fault_recall,far,early_recall,detection_delay
RRDC-R1,7,0.002950856392306467,5.551115123125783e-17,0.01951337903088013,0.0012918685252860662,0.013829787234042601,0.0031249999999999993,-0.006249999999999978,0.6502463054187189
RRDC-R1,42,0.0037110078693343707,0.0005065856129686797,0.012803350609185915,0.02745436135511925,0.03138297872340423,-0.03203125,0.018750000000000044,-1.066666666666677
RRDC-R1,2026,-0.01696254501174982,-0.01722391084093222,0.012755555251605655,0.012890709561125924,0.0015957446808511078,0.00859375,-0.006250000000000089,-9.802298850574715
RRDC-R2,7,0.0031253235744878594,-0.003039513677811523,0.013243444865360887,0.001601774830525593,0.011702127659574457,0.0027343750000000007,0.006249999999999978,2.305418719211829
RRDC-R2,42,-0.003662586645342636,-0.006079027355623101,-7.245488779650255e-05,0.00844689656387787,0.014361702127659526,-0.00390625,0.018750000000000044,-0.34408602150537604
RRDC-R2,2026,-0.02087942896949252,-0.018237082066869414,0.035968600394684636,0.004311444505586515,-0.0021276595744680327,-0.004687500000000001,-0.006250000000000089,-11.991397849462373
RRDC-HFSC,7,-0.012060886295912232,-0.006079027355623101,0.02583499711928061,0.01060735979996974,0.027659574468085202,0.0035156249999999997,0.006249999999999978,2.857142857142861
RRDC-HFSC,42,-0.0009265304043829525,-0.0035460992907800915,-0.0034145258715402305,0.0031279362228822105,0.0031914893617021045,-0.005078124999999999,-0.012499999999999956,1.0666666666666629
RRDC-HFSC,2026,-0.01260739685522716,-0.01317122593718345,0.013541821442089375,-0.01789311999836496,-0.027127659574468055,0.010156250000000002,-0.018750000000000044,-9.233333333333334
