dataset,comparison,seed,macro_f1,recall_macro,auprc_fault_vs_normal,auprc_multiclass_macro,far,early_recall,mean_detection_delay_seconds,class_2_recall,class_2_f1,class_8_recall,class_8_f1,class_9_recall,class_9_f1,binary_auprc,detected_rate,detection_delay,fault_recall,missed_runs
3W,UG_R1-R1,42,-0.01965849366890987,-0.01830938354209455,0.00369752013533986,0.0002513274458623149,0.07749560662968197,0.002025544365048093,36.363636363636374,0.0,-0.00028860028860028253,0.004717842576246412,-0.021747648714237844,-0.0004597701149425294,-0.0003819120110275052,,,,,
3W,UG_R1-R1,43,-0.03078165344950612,-0.0975931934566241,-0.005027306905720841,0.0030839106178683906,-0.017435650046518036,-0.021633939121138757,-12.190476190476204,-0.06513070447496677,-0.05171280894458263,-0.0006087538808059456,-0.0033635677547055876,-0.3420689655172414,-0.07227076117235914,,,,,
3W,UG_R1-R1,44,-0.12567573679703364,-0.10343037375766795,0.02180061138010947,-0.06874331325396615,0.029874918162709763,-0.1759410341529286,328.00000000000006,-0.003101462117855558,0.007642540126986286,-0.38074511475010653,-0.4308744854656134,0.0,-0.0003079211001651319,,,,,
3W,UG_R1-UNIFORM,42,0.004816495435311374,0.005761977998144152,0.00849674944097023,0.008099699003682348,-0.01678095172461319,-0.003150846790074824,-13.090909090909122,0.0,-0.0015921294731703894,0.006726730382906165,0.008427450788744961,-0.0004597701149425294,0.0009034007817277784,,,,,
3W,UG_R1-UNIFORM,43,0.003020109819515948,0.020540209636776274,0.0020102902777955345,0.0017707463109736254,0.006684814444712417,0.006048500534518664,3.047619047619037,-0.011076650420912715,-0.007746150341519931,0.00015218847020159743,-0.00046141319646264556,0.09977011494252874,0.022917389801841208,,,,,
3W,UG_R1-UNIFORM,44,-0.08622557870846498,-0.05062182212206978,-0.04792637524826321,-0.0266492270727422,-0.03056407429103064,-0.21572047487762336,394.66666666666674,-0.001329198050509517,0.002482922499489282,-0.23172216472880014,-0.29086635010831186,0.0,-2.3970512260306984e-07,,,,,
TEP,UG_R1-R1,7,-0.0004509674952984932,,,,0.0007812500000000007,0.0,,,,,,,,5.7898538955880596e-05,0.0,0.0,0.0,0
TEP,UG_R1-R1,42,0.0026789741924311272,,,,-0.009375000000000001,-0.012499999999999956,,,,,,,,0.0001152503725772025,0.0,0.0,-0.005851063829787284,0
TEP,UG_R1-R1,2026,2.728724960199269e-05,,,,0.0003906250000000021,0.0,,,,,,,,8.909946319191064e-06,0.0,0.0,0.0005319148936170359,0
TEP,UG_R1-UNIFORM,7,0.002071047050122621,,,,-0.007031249999999999,0.0,,,,,,,,0.00026827473180490724,0.0,0.0,-0.004255319148936176,0
TEP,UG_R1-UNIFORM,42,0.005827131893524573,,,,-0.010156249999999999,-0.006249999999999978,,,,,,,,0.0007592426883495929,0.0,0.0,0.0,0
TEP,UG_R1-UNIFORM,2026,0.0,,,,0.0,0.0,,,,,,,,1.0324456648391767e-05,0.0,0.0,0.0,0
