dataset,variant,seed,metric,value,delta_vs_full,delta_vs_uniform
TEP,W/O_E,42,fault_recall,0.8117021276595745,-0.004787234042553212,0.0010638297872340718
TEP,W/O_E,42,far,0.052734375,-0.0015625000000000014,-0.0023437499999999986
TEP,W/O_E,42,early_recall,0.78125,-0.006249999999999978,0.0
TEP,W/O_E,42,mean_detection_delay_samples,121.97142857142858,0.0,0.0
TEP,W/O_E,42,detected_rate,0.875,0.0,0.0
TEP,W/O_E,42,missed_runs,5.0,0.0,0.0
TEP,W/O_E,2026,macro_f1,0.880751639923302,-0.0002253230750846047,-0.0002526103246865974
TEP,W/O_E,2026,auprc,0.9194460337890015,-3.8953061242574805e-05,-3.75385509133741e-05
TEP,W/O_E,2026,fault_recall,0.7648936170212766,0.0,-0.0005319148936170359
TEP,W/O_E,2026,far,0.022265625,0.0003906250000000021,0.0
TEP,W/O_E,2026,early_recall,0.7375,0.0,0.0
TEP,W/O_E,2026,mean_detection_delay_samples,126.05882352941177,0.0,0.0
TEP,W/O_E,2026,detected_rate,0.85,0.0,0.0
TEP,W/O_E,2026,missed_runs,6.0,0.0,0.0
TEP,W/O_S,7,macro_f1,0.8912932099968898,-0.0006991695507995166,0.0018228449946215974
TEP,W/O_S,7,auprc,0.9313792308653496,-0.00025659446228110117,-4.621826943207452e-05
TEP,W/O_S,7,fault_recall,0.7973404255319149,-0.0005319148936170359,-0.004787234042553212
TEP,W/O_S,7,far,0.03046875,0.0007812500000000007,-0.007031249999999999
TEP,W/O_S,7,early_recall,0.79375,0.0,0.0
TEP,W/O_S,7,mean_detection_delay_samples,103.0,0.0,0.0
TEP,W/O_S,7,detected_rate,0.85,0.0,0.0
TEP,W/O_S,7,missed_runs,6.0,0.0,0.0
TEP,W/O_S,42,macro_f1,0.8859368167859327,-0.0005334163067982622,0.0026147413942951836
TEP,W/O_S,42,auprc,0.9316657035812499,0.0001412434941788776,0.000785235809951268
TEP,W/O_S,42,fault_recall,0.8143617021276596,-0.0021276595744681437,0.0037234042553191404
TEP,W/O_S,42,far,0.053515625,-0.0007812500000000042,-0.0015625000000000014
TEP,W/O_S,42,early_recall,0.78125,-0.006249999999999978,0.0
TEP,W/O_S,42,mean_detection_delay_samples,121.97142857142858,0.0,0.0
TEP,W/O_S,42,detected_rate,0.875,0.0,0.0
TEP,W/O_S,42,missed_runs,5.0,0.0,0.0
TEP,W/O_S,2026,macro_f1,0.880751639923302,-0.0002253230750846047,-0.0002526103246865974
TEP,W/O_S,2026,auprc,0.9194256308308096,-5.9356019434408935e-05,-5.794150910520823e-05
TEP,W/O_S,2026,fault_recall,0.7648936170212766,0.0,-0.0005319148936170359
TEP,W/O_S,2026,far,0.022265625,0.0003906250000000021,0.0
TEP,W/O_S,2026,early_recall,0.7375,0.0,0.0
TEP,W/O_S,2026,mean_detection_delay_samples,126.05882352941177,0.0,0.0
TEP,W/O_S,2026,detected_rate,0.85,0.0,0.0
TEP,W/O_S,2026,missed_runs,6.0,0.0,0.0
TEP,FULL_DES,7,macro_f1,0.8919923795476893,0.0,0.002522014545421114
TEP,FULL_DES,7,auprc,0.9316358253276307,0.0,0.00021037619284902664
TEP,FULL_DES,7,fault_recall,0.7978723404255319,0.0,-0.004255319148936176
TEP,FULL_DES,7,far,0.0296875,0.0,-0.0078125
TEP,FULL_DES,7,early_recall,0.79375,0.0,0.0
TEP,FULL_DES,7,mean_detection_delay_samples,103.0,0.0,0.0
TEP,FULL_DES,7,detected_rate,0.85,0.0,0.0
TEP,FULL_DES,7,missed_runs,6.0,0.0,0.0
TEP,FULL_DES,42,macro_f1,0.886470233092731,0.0,0.003148157701093446
TEP,FULL_DES,42,auprc,0.931524460087071,0.0,0.0006439923157723904
TEP,FULL_DES,42,fault_recall,0.8164893617021277,0.0,0.005851063829787284
TEP,FULL_DES,42,far,0.054296875,0.0,-0.0007812499999999972
TEP,FULL_DES,42,early_recall,0.7875,0.0,0.006249999999999978
TEP,FULL_DES,42,mean_detection_delay_samples,121.97142857142858,0.0,0.0
TEP,FULL_DES,42,detected_rate,0.875,0.0,0.0
TEP,FULL_DES,42,missed_runs,5.0,0.0,0.0
TEP,FULL_DES,2026,macro_f1,0.8809769629983866,0.0,-2.728724960199269e-05
TEP,FULL_DES,2026,auprc,0.919484986850244,0.0,1.4145103292007022e-06
TEP,FULL_DES,2026,fault_recall,0.7648936170212766,0.0,-0.0005319148936170359
TEP,FULL_DES,2026,far,0.021875,0.0,-0.0003906250000000021
TEP,FULL_DES,2026,early_recall,0.7375,0.0,0.0
TEP,FULL_DES,2026,mean_detection_delay_samples,126.05882352941177,0.0,0.0
TEP,FULL_DES,2026,detected_rate,0.85,0.0,0.0
TEP,FULL_DES,2026,missed_runs,6.0,0.0,0.0
TEP,D_ONLY,7,macro_f1,0.8888630904174893,-0.0031292891301999415,-0.0006072745847788275
TEP,D_ONLY,7,auprc,0.9312959741895755,-0.000339851138055125,-0.00012947494520609837
TEP,D_ONLY,7,fault_recall,0.8037234042553192,0.005851063829787284,0.0015957446808511078
TEP,D_ONLY,7,far,0.03984375,0.010156249999999999,0.0023437499999999986
TEP,D_ONLY,7,early_recall,0.79375,0.0,0.0
TEP,D_ONLY,7,mean_detection_delay_samples,103.0,0.0,0.0
TEP,D_ONLY,7,detected_rate,0.85,0.0,0.0
TEP,D_ONLY,7,missed_runs,6.0,0.0,0.0
TEP,D_ONLY,42,macro_f1,0.8921229979011865,0.005652764808455557,0.008800922509549003
TEP,D_ONLY,42,auprc,0.9313434701765444,-0.00018098991052661884,0.0004630024052457715
TEP,D_ONLY,42,fault_recall,0.8063829787234043,-0.01010638297872346,-0.004255319148936176
TEP,D_ONLY,42,far,0.036328125,-0.01796875,-0.018749999999999996
TEP,D_ONLY,42,early_recall,0.775,-0.012499999999999956,-0.006249999999999978
TEP,D_ONLY,42,mean_detection_delay_samples,121.97142857142858,0.0,0.0
TEP,D_ONLY,42,detected_rate,0.875,0.0,0.0
TEP,D_ONLY,42,missed_runs,5.0,0.0,0.0
TEP,D_ONLY,2026,macro_f1,0.8807242659276706,-0.00025269707071595704,-0.00027998432031794973
TEP,D_ONLY,2026,auprc,0.9193971605335534,-8.782631669068675e-05,-8.641180636148604e-05
TEP,D_ONLY,2026,fault_recall,0.7643617021276595,-0.0005319148936170359,-0.0010638297872340718
TEP,D_ONLY,2026,far,0.021875,0.0,-0.0003906250000000021
TEP,D_ONLY,2026,early_recall,0.7375,0.0,0.0
TEP,D_ONLY,2026,mean_detection_delay_samples,126.05882352941177,0.0,0.0
TEP,D_ONLY,2026,detected_rate,0.85,0.0,0.0
TEP,D_ONLY,2026,missed_runs,6.0,0.0,0.0
TEP,E_ONLY,7,macro_f1,0.8808809421366827,-0.01111143741100662,-0.008589422865585505
TEP,E_ONLY,7,auprc,0.9313334232139349,-0.00030240211369580994,-9.20259208467833e-05
TEP,E_ONLY,7,fault_recall,0.8164893617021277,0.018617021276595813,0.014361702127659637
TEP,E_ONLY,7,far,0.0640625,0.034374999999999996,0.026562499999999996
TEP,E_ONLY,7,early_recall,0.80625,0.012500000000000067,0.012500000000000067
TEP,E_ONLY,7,mean_detection_delay_samples,120.14285714285714,17.14285714285714,17.14285714285714
TEP,E_ONLY,7,detected_rate,0.875,0.025000000000000022,0.025000000000000022
TEP,E_ONLY,7,missed_runs,5.0,-1.0,-1.0
TEP,E_ONLY,42,macro_f1,0.8894895858757081,0.0030193527829771583,0.006167510484070604
TEP,E_ONLY,42,auprc,0.9314213336608159,-0.00010312642625509572,0.0005408658895172946
TEP,E_ONLY,42,fault_recall,0.8079787234042554,-0.008510638297872353,-0.0026595744680850686
TEP,E_ONLY,42,far,0.0421875,-0.012109374999999999,-0.012890624999999996
TEP,E_ONLY,42,early_recall,0.78125,-0.006249999999999978,0.0
TEP,E_ONLY,42,mean_detection_delay_samples,121.97142857142858,0.0,0.0
TEP,E_ONLY,42,detected_rate,0.875,0.0,0.0
TEP,E_ONLY,42,missed_runs,5.0,0.0,0.0
TEP,E_ONLY,2026,macro_f1,0.880751639923302,-0.0002253230750846047,-0.0002526103246865974
TEP,E_ONLY,2026,auprc,0.9193949229402882,-9.006390995580649e-05,-8.864939962660578e-05
TEP,E_ONLY,2026,fault_recall,0.7648936170212766,0.0,-0.0005319148936170359
TEP,E_ONLY,2026,far,0.022265625,0.0003906250000000021,0.0
TEP,E_ONLY,2026,early_recall,0.7375,0.0,0.0
TEP,E_ONLY,2026,mean_detection_delay_samples,126.05882352941177,0.0,0.0
TEP,E_ONLY,2026,detected_rate,0.85,0.0,0.0
TEP,E_ONLY,2026,missed_runs,6.0,0.0,0.0
TEP,S_ONLY,7,macro_f1,0.8897847174711485,-0.002207662076540773,0.0003143524688803412
TEP,S_ONLY,7,auprc,0.9312878418832996,-0.0003479834443310681,-0.00013760725148204145
TEP,S_ONLY,7,fault_recall,0.8042553191489362,0.00638297872340432,0.0021276595744681437
TEP,S_ONLY,7,far,0.038671875,0.008984375000000003,0.0011718750000000028
TEP,S_ONLY,7,early_recall,0.79375,0.0,0.0
TEP,S_ONLY,7,mean_detection_delay_samples,103.0,0.0,0.0
TEP,S_ONLY,7,detected_rate,0.85,0.0,0.0
TEP,S_ONLY,7,missed_runs,6.0,0.0,0.0
TEP,S_ONLY,42,macro_f1,0.872626109540294,-0.013844123552437027,-0.01069596585134358
TEP,S_ONLY,42,auprc,0.9332782655702072,0.0017538054831361949,0.0023977977989085852
TEP,S_ONLY,42,fault_recall,0.8388297872340426,0.022340425531914843,0.028191489361702127
TEP,S_ONLY,42,far,0.096484375,0.042187499999999996,0.04140625
TEP,S_ONLY,42,early_recall,0.78125,-0.006249999999999978,0.0
TEP,S_ONLY,42,mean_detection_delay_samples,140.33333333333334,18.361904761904768,18.361904761904768
TEP,S_ONLY,42,detected_rate,0.9,0.025000000000000022,0.025000000000000022
TEP,S_ONLY,42,missed_runs,4.0,-1.0,-1.0
TEP,S_ONLY,2026,macro_f1,0.8809769629983866,0.0,-2.728724960199269e-05
TEP,S_ONLY,2026,auprc,0.9194951979269186,1.02110766745378e-05,1.1625587003738502e-05
TEP,S_ONLY,2026,fault_recall,0.7648936170212766,0.0,-0.0005319148936170359
TEP,S_ONLY,2026,far,0.021875,0.0,-0.0003906250000000021
TEP,S_ONLY,2026,early_recall,0.7375,0.0,0.0
TEP,S_ONLY,2026,mean_detection_delay_samples,126.05882352941177,0.0,0.0
TEP,S_ONLY,2026,detected_rate,0.85,0.0,0.0
TEP,S_ONLY,2026,missed_runs,6.0,0.0,0.0
