auprc,auprc_mean,auprc_std,count,dataset,detection_delay_mean,detection_delay_std,early_recall,early_recall_mean,early_recall_std,effective_diffusion_budget,effective_scaling_std,far,far_mean,far_std,macro_f1,macro_f1_mean,macro_f1_std,method,rho,seed,seeds,stage
,0.6072904541804551,0.0,1,3W,1687.7777777777778,0.0,,0.8582494190549961,0.0,0.0,0.05,,0.4372516219254224,0.0,,0.3342077531477087,0.0,,0.0,,[42],stage_b
,0.5209012145985332,0.0,1,3W,1694.888888888889,0.0,,0.9066615027110767,0.0,0.004493410233408213,0.037500000000000006,,0.44034058221148314,0.0,,0.33251539085921333,0.0,,0.25,,[42],stage_b
,0.5775016826662667,0.0,1,3W,1655.7777777777778,0.0,,0.8761941647301833,0.0,0.008986820466816425,0.025,,0.4571307187807015,0.0,,0.3107923525434758,0.0,,0.5,,[42],stage_b
,0.5614504048454658,0.0,1,3W,1923.25,0.0,,0.8586367157242448,0.0,0.01348023023456335,0.0125,,0.3425825124133719,0.0,,0.3440958104754826,0.0,,0.75,,[42],stage_b
,0.628792459717419,0.0,1,3W,1955.25,0.0,,0.8536018590240124,0.0,0.01797364093363285,0.0,,0.3425559597461565,0.0,,0.34256969678723803,0.0,,1.0,,[42],stage_b
,0.9951537145789771,0.0,1,TEP,110.6,0.0,,0.95625,0.0,0.0,0.05,,0.05357142857142857,0.0,,0.9630448429709628,0.0,,0.0,,[7],stage_b
,0.9952191995739877,0.0,1,TEP,111.4,0.0,,0.95625,0.0,0.004493410233408213,0.037500000000000006,,0.05022321428571429,0.0,,0.9640987284966342,0.0,,0.25,,[7],stage_b
,0.9954971279142929,0.0,1,TEP,109.4,0.0,,0.9875,0.0,0.008986820466816425,0.025,,0.04017857142857143,0.0,,0.9739822713907121,0.0,,0.5,,[7],stage_b
,0.995506181694664,0.0,1,TEP,107.4,0.0,,0.99375,0.0,0.01348023023456335,0.0125,,0.04241071428571429,0.0,,0.9734547463594239,0.0,,0.75,,[7],stage_b
,0.981885557871975,0.0,1,TEP,138.6,0.0,,0.83125,0.0,0.01797364093363285,0.0,,0.03236607142857143,0.0,,0.9224647246536544,0.0,,1.0,,[7],stage_b
