seed,method,macro_f1,recall_macro,multiclass_auprc,binary_auprc,fault_recall,far,early_recall,detection_delay
7,UNIFORM,0.41311103015854755,0.40526849037487334,0.5532723329883288,0.7184537538214872,0.47393617021276596,0.030078125,0.51875,151.57142857142858
7,R1,0.40849574795244065,0.4189463019250253,0.5704200222639622,0.8040585395240935,0.5925531914893617,0.015625,0.575,113.20689655172414
7,R2,0.40832128077025925,0.4219858156028369,0.5766899564294814,0.8037486332188539,0.5946808510638298,0.016015625,0.5625,111.55172413793103
7,HFSC,0.42350749064065935,0.42502532928064846,0.5640984041755617,0.7947430482494098,0.5787234042553191,0.015234375,0.5625,111.0
42,UNIFORM,0.45090143394040316,0.4584599797365755,0.6032362472515272,0.8253724257216384,0.6351063829787233,0.036328125,0.58125,116.16129032258064
42,R1,0.4461625799062838,0.4523809523809524,0.590889345901976,0.7976115746704602,0.5973404255319149,0.05859375,0.5625,117.4
42,R2,0.4535361744209608,0.45896656534954416,0.6037651513989584,0.8166190394617016,0.6143617021276596,0.03046875,0.5625,116.6774193548387
42,HFSC,0.4508001181800011,0.45643363728470115,0.6071072223827021,0.8219379998026972,0.625531914893617,0.031640625,0.59375,115.26666666666667
2026,UNIFORM,0.4458299439851236,0.4488348530901723,0.6235768847506222,0.8217303269707001,0.6143617021276596,0.01015625,0.56875,103.61538461538461
2026,R1,0.4418627024728428,0.4488348530901723,0.6662833959488565,0.8372162782207873,0.6696808510638298,0.01953125,0.64375,117.06896551724138
2026,R2,0.4457795864305855,0.4498480243161095,0.6430703508057776,0.8457955432763267,0.6734042553191489,0.0328125,0.64375,119.25806451612904
2026,HFSC,0.43750755431632016,0.4447821681864235,0.6654971297583728,0.8680001077802781,0.698404255319149,0.01796875,0.65625,116.5
