seed,statistic,macro_f1,macro_recall,binary_auprc,multiclass_auprc,far,early_recall,mean_detection_delay_seconds,class_0_recall,class_0_f1,class_2_recall,class_2_f1,class_8_recall,class_8_f1,class_9_recall,class_9_f1
42,seed_delta,0.024474989104221245,0.0240713615402387,0.00479922930563037,0.007848371557820033,-0.09427655835429516,-0.005176391155122917,-49.454545454545496,0.09427655835429516,0.06774307330571694,0.0,-0.001303529184570107,0.0020088878066597537,0.030175099502982805,0.0,0.0012853127927552836
43,seed_delta,0.03380176326902207,0.11813340309340037,0.007037597183516375,-0.0013131643068947652,0.024120464491230453,0.02768243965565742,15.23809523809524,-0.02412046449123051,-0.00684991105941779,0.05405405405405406,0.0439666586030627,0.000760942351007543,0.002902154558242942,0.44183908045977016,0.09518815097420034
44,seed_delta,0.039450158088568665,0.05280855163559817,-0.06972698662837268,0.042094086181223955,-0.0604389924537404,-0.03977944072469475,66.66666666666666,0.06043899245374029,0.022644433229427552,0.001772264067346041,-0.005159617627497004,0.1490229500213064,0.14000813535730156,0.0,0.0003076813950425288
ALL,mean,0.03257563682060399,0.06500443875641242,-0.019296720046408644,0.016209764477383076,-0.043531695438935036,-0.005757797408053415,10.8167388167388,0.04353169543893498,0.027845865158575567,0.018608772707133365,0.012501170596998531,0.050597593392991226,0.05769512980617577,0.14727969348659006,0.03226038172066605
ALL,std,0.0061747583530625165,0.03935709730391636,0.03567129016763254,0.01868122082736315,0.0497919422793897,0.027544265598444095,47.50926415327429,0.04979194227938971,0.030673761857212524,0.02507403979288638,0.022305082471860454,0.06959910182621296,0.05925946643721126,0.208284939990888,0.0444984422814027
