comparison,seed,macro_f1,recall_macro,auprc_fault_vs_normal,auprc_multiclass_macro,far,early_recall,mean_detection_delay_seconds,class_0_recall,class_0_f1,class_2_recall,class_2_f1,class_8_recall,class_8_f1,class_9_recall,class_9_f1
R1-UNIFORM,42,0.024474989104221245,0.0240713615402387,0.00479922930563037,0.007848371557820033,-0.09427655835429516,-0.005176391155122917,-49.454545454545496,0.09427655835429516,0.06774307330571694,0.0,-0.001303529184570107,0.0020088878066597537,0.030175099502982805,0.0,0.0012853127927552836
R1-UNIFORM,43,0.03380176326902207,0.11813340309340037,0.007037597183516375,-0.0013131643068947652,0.024120464491230453,0.02768243965565742,15.23809523809524,-0.02412046449123051,-0.00684991105941779,0.05405405405405406,0.0439666586030627,0.000760942351007543,0.002902154558242942,0.44183908045977016,0.09518815097420034
R1-UNIFORM,44,0.039450158088568665,0.05280855163559817,-0.06972698662837268,0.042094086181223955,-0.0604389924537404,-0.03977944072469475,66.66666666666666,0.06043899245374029,0.022644433229427552,0.001772264067346041,-0.005159617627497004,0.1490229500213064,0.14000813535730156,0.0,0.0003076813950425288
R1-UNIFORM,45,-0.0007575578734421162,-0.0026447626739528607,-0.00010997353630903817,0.00043779536666743724,0.0010681919988973498,0.0005345186518876943,-2.782608695652172,-0.0010681919988974053,-0.00038813313550412065,-0.017722640673460355,-0.004410497453975704,0.00039569002252382024,-0.0005525951555365172,0.007816091954022941,0.0023209942512480153
R1-UNIFORM,46,0.035999340340761465,0.027889598197571086,0.020368242772241585,-0.06542477015257764,-0.16243409944522935,-0.05165138130872671,72.46103896103895,0.16243409944522935,0.09816529602067614,0.0008861320336729928,0.0003335694581224069,0.033755402690692216,0.06920183808135583,-0.08551724137931034,-0.023703342197108398
R2-UNIFORM,42,0.0015803712060745156,0.0006733513949490622,-0.003121411190155965,0.0010583156176297015,0.0004824092898246257,0.008186575142069441,-727.2727272727273,-0.0004824092898245702,0.0035993112462650023,-0.0004430660168364686,0.0022448108727866622,0.0040786510014001465,0.0016426500927559928,-0.0004597701149425294,-0.0011652873875096087
R2-UNIFORM,43,-0.047619913980110395,-0.044167465215633195,0.005680997118810538,-0.0214106920973971,0.012094690052031287,-0.06290440555899401,-203.00216450216448,-0.012094690052031343,-0.043298311997353234,-0.11209570225963672,-0.12899505398767963,-0.003743836366956743,-0.006924639522162046,-0.04873563218390804,-0.011261650413246551
R2-UNIFORM,44,0.13462495283824988,0.15958664866166022,0.36571943732473,0.19884011819728337,-0.09899727783329315,0.11441512406459231,34.382246376811594,0.09899727783329304,0.11399440850803166,0.002215330084182565,-0.025618950366219362,0.5371339867291653,0.44925890404337726,0.0,0.0008654491678099686
R2-UNIFORM,45,0.01876719767896895,0.04597410709793659,0.001209033929410186,-0.002654389832312698,0.020605768236794053,0.006020367973892937,-16.695652173913043,-0.020605768236794053,-0.013269936100656632,0.023482498892334946,0.021705799236388823,-0.020819382723564872,-0.013311665290029362,0.20183908045977011,0.0799445928701733
R2-UNIFORM,46,0.02985622652886738,0.07540960204853092,0.0038172229599447993,0.006145317509419712,0.013714206953585273,0.027316716367523752,-13.714285714285708,-0.013714206953585328,0.0008655344152745936,0.03943287549844926,0.04606005754005077,0.0005174407986850982,0.001577354286705579,0.27540229885057466,0.07092195987343855
R2-R1,42,-0.02289461789814673,-0.02339801014528964,-0.007920640495786335,-0.0067900559401903315,0.09475896764411978,0.013362966297192358,-677.8181818181818,-0.09475896764411973,-0.06414376205945194,-0.0004430660168364686,0.003548340057356769,0.0020697631947403927,-0.028532449410226812,-0.0004597701149425294,-0.0024506001802648922
R2-R1,43,-0.08142167724913246,-0.16230086830903356,-0.0013566000647058374,-0.020097527790502334,-0.012025774439199166,-0.09058684521465143,-218.24025974025972,0.012025774439199166,-0.03644840093793544,-0.16614975631369078,-0.17296171259074233,-0.004504778717964286,-0.009826794080404988,-0.4905747126436782,-0.10644980138744689
R2-R1,44,0.09517479474968121,0.10677809702606206,0.4354464239531027,0.1567460320160594,-0.03855828537955275,0.15419456478928706,-32.28442028985506,0.03855828537955275,0.09134997527860411,0.00044306601683652413,-0.020459332738722358,0.388111036707859,0.3092507686860757,0.0,0.0005577677727674398
R2-R1,45,0.019524755552411066,0.04861886977188945,0.0013190074657192241,-0.0030921851989801352,0.019537576237896703,0.005485849322005243,-13.913043478260871,-0.019537576237896648,-0.012881802965152511,0.0412051395657953,0.026116296690364527,-0.021215072746088692,-0.012759070134492845,0.19402298850574717,0.07762359861892529
R2-R1,46,-0.006143113811894085,0.047520003850959835,-0.016551019812296786,0.07157008766199735,0.17614830639881462,0.07896809767625046,-86.17532467532467,-0.17614830639881468,-0.09729976160540155,0.03854674346477627,0.04572648808192836,-0.03323796189200712,-0.06762448379465025,0.36091954022988504,0.09462530207054695
