dataset,method,reference,seed,delta_macro_f1,delta_auprc,delta_far,delta_fault_recall,delta_early_recall,delta_detection_delay
TEP,SCALING,UNIFORM_DIFFUSION,44,0.011828786863770868,0.0038795660646897545,-0.01484375,0.006914893617021245,0.025000000000000022,-0.941176470588232
TEP,SCALING,UNIFORM_DIFFUSION,2026,0.026711233504361553,0.019606057120798326,-0.00859375,0.046276595744680904,0.0625,-20.705882352941174
TEP,FRERA,FINAL_QDIFFCL,7,0.007750741046991916,-0.0018758574398497485,-0.012109375000000002,0.0015957446808511078,-0.04999999999999993,19.111111111111114
TEP,FRERA,FINAL_QDIFFCL,42,0.018588314177932608,0.004829251974128201,-0.029687500000000002,0.0031914893617021045,-0.012499999999999956,6.325868725868716
TEP,FRERA,FINAL_QDIFFCL,43,-0.02638267227381752,-0.020310209805363355,0.0125,-0.04042553191489362,-0.06874999999999998,15.529411764705884
TEP,FRERA,FINAL_QDIFFCL,44,-0.005555887229837686,-0.005180993577889259,-0.0015625000000000014,-0.013829787234042601,0.006250000000000089,0.941176470588232
TEP,FRERA,FINAL_QDIFFCL,2026,-0.0086459381890589,-0.004627569465774584,0.0031250000000000028,-0.014361702127659526,-0.012500000000000067,-9.411764705882362
TEP,FRERA,UNIFORM_DIFFUSION,7,0.009596357884643858,-0.0018018652286587722,-0.01875,-0.0026595744680850686,-0.04999999999999993,19.111111111111114
TEP,FRERA,UNIFORM_DIFFUSION,42,0.02122454018946085,0.005572506313562986,-0.030859374999999998,0.007446808510638281,-0.012499999999999956,6.325868725868716
TEP,FRERA,UNIFORM_DIFFUSION,43,-0.02658667328438724,-0.020413554833302983,0.013281250000000001,-0.039893617021276584,-0.06874999999999998,15.529411764705884
TEP,FRERA,UNIFORM_DIFFUSION,44,-0.005534115731019806,-0.005275433663239015,-0.0011718749999999993,-0.013297872340425565,0.006250000000000089,0.941176470588232
TEP,FRERA,UNIFORM_DIFFUSION,2026,-0.008673225438660892,-0.004645932338058101,0.0027343750000000007,-0.014893617021276562,-0.012500000000000067,-9.411764705882362
