dataset,comparison,seed,binary_auprc,far,early_recall,delay,fault_recall,macro_f1,multiclass_auprc
3W,EWIC-R1,42,-0.01332302887475556,0.10633679059991041,0.009030551960839461,-721.4545454545455,0.008877326610524094,-0.02815164886771032,-0.011830058378136443
3W,EWIC-R1,43,-0.0038662630573034207,0.0015161434823059428,0.0030383165475721396,13.714285714285722,0.002896529528509384,-0.004998648681728057,-0.0030941659564377444
3W,EWIC-R1,44,0.43010421971852925,-0.14696254436442574,0.14308220334214816,380.9329710144928,0.13750469345062488,0.11407204466481485,0.17781279637909697
3W,EWIC-UNIFORM,42,-0.00852379956912519,0.012060232245615254,0.0038541608057165444,-770.909090909091,0.0036474816284932654,-0.0036766597634890763,-0.00398168682031641
3W,EWIC-UNIFORM,43,0.0031713341262129546,0.025636607973536396,0.03072075620322956,28.952380952380963,0.02931395161722905,0.02880311458729401,-0.0044073302633325095
3W,EWIC-UNIFORM,44,0.36037723309015657,-0.20740153681816614,0.10330276261745341,447.5996376811595,0.09429812798369364,0.15352220275338352,0.21990688256032093
TEP,EWIC-R1,7,-0.0001715098605009624,0.012109374999999999,0.0,-0.941176470588232,0.008510638297872353,-0.0030181264419664178,
TEP,EWIC-R1,42,-0.0003266293210414384,0.004296874999999999,-0.006249999999999978,0.0,-0.0026595744680851796,-0.003687433396862172,
TEP,EWIC-R1,2026,-0.00011669513609746662,0.0003906250000000021,0.0,0.0,0.0,-0.0002253230750846047,
TEP,EWIC-C1,7,3.886633234806425e-05,0.004296874999999999,0.0,-0.941176470588232,0.004255319148936176,-0.0004961118965453037,
TEP,EWIC-C1,42,0.000317362994730952,0.0035156250000000014,0.0,0.0,0.0031914893617021045,-0.0005392756957687261,
TEP,EWIC-C1,2026,-0.00011528062576826592,0.0,0.0,0.0,-0.0005319148936170359,-0.0002526103246865974,
