seed,method,macro_f1,recall_macro,auprc_fault_vs_normal,auprc_multiclass_macro,far,early_recall,mean_detection_delay_seconds,class_0_recall,class_0_f1,class_2_recall,class_2_f1,class_8_recall,class_8_f1,class_9_recall,class_9_f1
42,UNIFORM,0.4763621262109365,0.44831988281491636,0.779062478394431,0.5165092583835524,0.4387512490954826,0.9019017610982951,965.5909090909091,0.5612487509045174,0.662194576574379,0.28178998670801947,0.42987495775599865,0.9405856212333353,0.8004558935902916,0.009655172413793104,0.012923076923076923
42,R1,0.5008371153151577,0.47239124435515506,0.7838617077000614,0.5243576299413725,0.3444746907411874,0.8967253699431722,916.1363636363636,0.6555253092588126,0.7299376498800959,0.28178998670801947,0.42857142857142855,0.9425945090399951,0.8306309930932744,0.009655172413793104,0.014208389715832206
42,R2,0.477942497417011,0.4489932342098654,0.775941067204275,0.5175675740011821,0.4392336583853072,0.9100883362403646,238.3181818181818,0.5607663416146929,0.665793887820644,0.281346920691183,0.4321197686287853,0.9446642722347355,0.8020985436830476,0.009195402298850575,0.011757789535567314
43,UNIFORM,0.5194401388529075,0.4529650772363253,0.8781029772418474,0.6661251483849384,0.47334688673719033,0.9149271366679795,322.04761904761904,0.5266531132628097,0.6450714330934645,0.3938856889676562,0.561060271378984,0.8324709320021915,0.8576221758831,0.058850574712643676,0.014006675056081413
43,R1,0.5532419021219296,0.5710984803297257,0.8851405744253638,0.6648119840780436,0.4974673512284208,0.942609576323637,337.2857142857143,0.5025326487715792,0.6382215220340467,0.44793974302171025,0.6050269299820467,0.833231874353199,0.8605243304413429,0.5006896551724138,0.10919482603028176
43,R2,0.4718202248727971,0.4087976120206921,0.8837839743606579,0.6447144562875413,0.4854415767892216,0.8520227311089855,119.04545454545455,0.5145584232107784,0.6017731210961113,0.28178998670801947,0.4320652173913043,0.8287270956352347,0.8506975363609379,0.010114942528735632,0.0027450246428348617
44,UNIFORM,0.36668734828170885,0.3022539061824409,0.538025879459154,0.32322960286964414,0.37417731987181696,0.7324593484498959,190.79166666666666,0.6258226801281831,0.6347686285474626,0.27913159060700043,0.427263479145473,0.3013027333049248,0.4042057982850143,0.002758620689655172,0.0005114871488853843
44,R1,0.4061375063702775,0.3550624578180391,0.46829889283078135,0.3653236890508681,0.31373832741807656,0.6926799077252012,257.4583333333333,0.6862616725819234,0.6574130617768902,0.2809038546743465,0.422103861517976,0.4503256833262312,0.5442139336423159,0.002758620689655172,0.0008191685439279131
44,R2,0.5013123011199587,0.46184055484410114,0.903745316783884,0.5220697210669275,0.2751800420385238,0.8468744725144882,225.17391304347825,0.7248199579614761,0.7487630370554943,0.281346920691183,0.40164452877925366,0.8384367200340902,0.8534647023283916,0.002758620689655172,0.001376936316695353
45,UNIFORM,0.5869642261635563,0.5745638539377239,0.8734287630968078,0.6358475644030114,0.4071189828055546,0.8586620154166432,44.65217391304348,0.5928810171944454,0.6663568413306998,0.49977846699158174,0.6351351351351351,0.8796189200706155,0.8089632874718322,0.3259770114942529,0.23740164071655784
45,R1,0.5862066682901141,0.571919091263771,0.8733187895604988,0.6362853597696788,0.40818717480445194,0.8591965340685309,41.869565217391305,0.591812825195548,0.6659687081951957,0.4820558263181214,0.6307246376811594,0.8800146100931393,0.8084106923162957,0.33379310344827584,0.23972263496780585
45,R2,0.6057314238425252,0.6205379610356605,0.874637797026218,0.6331931745706987,0.42772475104234864,0.8646823833905362,27.956521739130434,0.5722752489576514,0.6530869052300432,0.5232609658839167,0.6568409343715239,0.8587995373470506,0.7956516221818029,0.527816091954023,0.31734623358673114
46,UNIFORM,0.46797696566467406,0.42494616638874544,0.9074664595890131,0.673844151595154,0.5147651700492747,0.9151521971529849,53.857142857142854,0.4852348299507253,0.6097819732825254,0.2809038546743465,0.43085287121984367,0.8375540269069215,0.8033691463272218,0.09609195402298851,0.027903871829105475
46,R1,0.5039763060054355,0.4528357645863165,0.9278347023612546,0.6084193814425763,0.35233107060404534,0.8635008158442582,126.31818181818181,0.6476689293959547,0.7079472693032015,0.28178998670801947,0.4311864406779661,0.8713094295976137,0.8725709844085776,0.010574712643678161,0.004200529631997078
46,R2,0.49783319219354144,0.5003557684372764,0.9112836825489579,0.6799894691045737,0.52847937700286,0.9424689135205087,40.142857142857146,0.47152062299714,0.6106475076978,0.32033673017279574,0.47691292875989444,0.8380714677056066,0.8049465006139274,0.3714942528735632,0.09882583170254403
