dataset,method,seed,macro_f1,auprc,far,fault_recall,early_recall,detection_delay,training_seconds,peak_gpu_mib,training,source
3W,UNIFORM_DIFFUSION,46,0.46797696566467406,0.673844151595154,0.5147651700492747,0.9172879901303438,0.9151521971529849,53.857142857142854,,,reused_existing,outputs\qdiffcl_final_5seed\3w\manifest.json
TEP,FINAL_QDIFFCL,2026,0.8809769629983866,0.9194652094676313,0.021875,0.7648936170212766,0.7375,126.05882352941177,,,reused_existing,outputs\qdiffcl_final_5seed\tep\manifest.json
TEP,FINAL_QDIFFCL,42,0.8859583014031658,0.9316237221107334,0.05390625,0.8148936170212766,0.78125,121.97142857142858,,,reused_existing,outputs\qdiffcl_final_5seed\tep\manifest.json
TEP,FINAL_QDIFFCL,43,0.8975311292400172,0.9318761472289588,0.013671875,0.7898936170212766,0.74375,110.52941176470588,245.63346670000465,76.181640625,reused_existing,outputs\qdiffcl_final_5seed\tep\manifest.json
TEP,FINAL_QDIFFCL,44,0.8956216968313623,0.9350802710537098,0.028125,0.8037234042553192,0.7625,107.23529411764706,243.39716970000882,76.2353515625,reused_existing,outputs\qdiffcl_final_5seed\tep\manifest.json
TEP,FINAL_QDIFFCL,7,0.8913159818399201,0.9314994413459726,0.030859375,0.7978723404255319,0.79375,103.0,,,reused_existing,outputs\qdiffcl_final_5seed\tep\manifest.json
TEP,FRERA,2026,0.8723310248093277,0.9148376400018567,0.025,0.750531914893617,0.725,116.6470588235294,237.17684749999898,1836.35302734375,new_training,outputs\external_baselines\tep\seed_2026\FRERA\metrics.json
TEP,FRERA,42,0.9045466155810984,0.9364529740848616,0.02421875,0.8180851063829787,0.76875,128.2972972972973,257.07116070002667,1836.35302734375,new_training,outputs\external_baselines\tep\seed_42\FRERA\metrics.json
TEP,FRERA,43,0.8711484569661997,0.9115659374235955,0.026171875,0.749468085106383,0.675,126.05882352941177,238.4532215000072,1836.39599609375,new_training,outputs\external_baselines\tep\seed_43\FRERA\metrics.json
TEP,FRERA,44,0.8900658096015246,0.9298992774758206,0.0265625,0.7898936170212766,0.76875,108.17647058823529,202.54677630000515,1836.39599609375,new_training,outputs\external_baselines\tep\seed_44\FRERA\metrics.json
TEP,FRERA,7,0.899066722886912,0.9296235839061229,0.01875,0.799468085106383,0.74375,122.11111111111111,206.32387780002318,147.51611328125,new_training,outputs\external_baselines\tep\seed_7\FRERA\metrics.json
TEP,JITTER_SCALING,2026,0.9068902770447509,0.9367181056493223,0.021875,0.8202127659574469,0.8125,104.14285714285714,260.74489649999305,1836.35302734375,new_training,outputs\external_baselines\tep\seed_2026\JITTER_SCALING\metrics.json
TEP,JITTER_SCALING,42,0.9029892154106247,0.9403180396413079,0.02265625,0.8127659574468085,0.78125,122.42857142857143,272.17188160002115,1836.35302734375,new_training,outputs\external_baselines\tep\seed_42\JITTER_SCALING\metrics.json
TEP,JITTER_SCALING,7,0.8987524666319511,0.933694193352549,0.017578125,0.7973404255319149,0.8,102.52941176470588,204.89109230000759,76.22021484375,new_training,outputs\external_baselines\tep\seed_7\JITTER_SCALING\metrics.json
TEP,JITTER,2026,0.9051285640531126,0.9376881272279521,0.02109375,0.8154255319148936,0.80625,106.88571428571429,210.1590039000148,1836.35302734375,new_training,outputs\external_baselines\tep\seed_2026\JITTER\metrics.json
TEP,JITTER,42,0.9049495131708218,0.9413168188208596,0.017578125,0.8106382978723404,0.78125,124.71428571428571,210.95707479998237,1836.35302734375,new_training,outputs\external_baselines\tep\seed_42\JITTER\metrics.json
TEP,JITTER,7,0.9023902133429531,0.9373140056589132,0.025390625,0.8148936170212766,0.81875,102.31428571428572,254.17732210000395,76.22021484375,new_training,outputs\external_baselines\tep\seed_7\JITTER\metrics.json
