comparison,seed,macro_f1,recall_macro,multiclass_auprc,binary_auprc,fault_recall,far,early_recall,detection_delay
HFSC-UNIFORM,7,0.010396460482111791,0.01975683890577512,0.010826071187232889,0.07628929442792254,0.10478723404255313,-0.014843750000000001,0.043749999999999956,-40.571428571428584
HFSC-UNIFORM,42,-0.00010131576040206536,-0.00202634245187433,0.0038709751311748475,-0.003434425918941164,-0.009574468085106314,-0.004687500000000004,0.012499999999999956,-0.8946236559139749
HFSC-UNIFORM,2026,-0.008322389668803443,-0.004052684903748771,0.0419202450077506,0.046269780809578,0.08404255319148934,0.007812499999999998,0.08750000000000002,12.884615384615387
HFSC-R1,7,0.015011742688218699,0.006079027355623157,-0.0063216180884004824,-0.009315491274683674,-0.013829787234042601,-0.00039062500000000035,-0.012499999999999956,-2.2068965517241423
HFSC-R1,42,0.004637538273717323,0.004052684903748771,0.016217876480726146,0.02432642513223704,0.028191489361702127,-0.026953125,0.03125,-2.13333333333334
HFSC-R1,2026,-0.004355148156522659,-0.004052684903748771,-0.0007862661904837198,0.030783829559490883,0.028723404255319163,-0.0015625000000000014,0.012499999999999956,-0.5689655172413808
HFSC-R2,7,0.015186209870400091,0.0030395136778115783,-0.012591552253919724,-0.009005584969444147,-0.015957446808510745,-0.000781249999999999,0.0,-0.551724137931032
HFSC-R2,42,-0.0027360562409596834,-0.0025329280648430097,0.003342070983743728,0.00531896034099566,0.011170212765957421,0.0011718749999999993,0.03125,-1.410752688172039
HFSC-R2,2026,-0.00827203211426536,-0.005065856129685964,0.02242677895259526,0.022204564503951474,0.025000000000000022,-0.014843750000000003,0.012499999999999956,-2.758064516129039
