variant,3w_macro_f1,3w_far,3w_early_recall,tep_macro_f1,tep_far,tep_early_recall
D_ONLY,0.5128 ± 0.0365,0.3749 ± 0.1575,0.8899 ± 0.0538,0.8872 ± 0.0059,0.0327 ± 0.0095,0.7688 ± 0.0286
E_ONLY,0.4628 ± 0.0937,0.3841 ± 0.0879,0.8302 ± 0.1371,0.8837 ± 0.0050,0.0428 ± 0.0209,0.7750 ± 0.0348
S_ONLY,0.4216 ± 0.0884,0.4336 ± 0.0743,0.7861 ± 0.1669,0.8811 ± 0.0086,0.0523 ± 0.0391,0.7708 ± 0.0295
FULL_DES,0.4867 ± 0.0746,0.3852 ± 0.0984,0.8440 ± 0.1330,0.8865 ± 0.0055,0.0353 ± 0.0169,0.7729 ± 0.0308
