batching,seed,method,macro_f1,recall_macro,auprc_fault_vs_normal,auprc_multiclass_macro,far,early_recall,mean_detection_delay_seconds,initialization_sha256,batch_order_sha256,window_refs_sha256,critical_mask_sha256,class_0_recall,class_0_f1,class_2_recall,class_2_f1,class_8_recall,class_8_f1,class_9_recall,class_9_f1
ORIGINAL,42,UNIFORM_DIFFUSION,0.4763621262109365,0.44831988281491636,0.779062478394431,0.5165092583835524,0.4387512490954826,0.9019017610982951,965.5909090909091,bfe4a6b05874038b73a4cdded202fdc1960581a9dd3771f515c5e01743703b1b,66d975a0064042ed0d72b7a8dec12d9b3781bbd3fc627ef37c9a8d41422699b8,4c1f14234133bb44130cf587a2dbd6330c7c40a7ef544185951e32019545e9a3,0832936bb5da6145eacaa3fa7ca490d6fa69eb72ced12b1614d23f16d2829939,0.5612487509045174,0.662194576574379,0.28178998670801947,0.42987495775599865,0.9405856212333353,0.8004558935902916,0.009655172413793104,0.012923076923076923
ORIGINAL,42,FREQUENCY_SELECTIVE_R1,0.5008371153151577,0.47239124435515506,0.7838617077000614,0.5243576299413725,0.3444746907411874,0.8967253699431722,916.1363636363636,bfe4a6b05874038b73a4cdded202fdc1960581a9dd3771f515c5e01743703b1b,66d975a0064042ed0d72b7a8dec12d9b3781bbd3fc627ef37c9a8d41422699b8,4c1f14234133bb44130cf587a2dbd6330c7c40a7ef544185951e32019545e9a3,0832936bb5da6145eacaa3fa7ca490d6fa69eb72ced12b1614d23f16d2829939,0.6555253092588126,0.7299376498800959,0.28178998670801947,0.42857142857142855,0.9425945090399951,0.8306309930932744,0.009655172413793104,0.014208389715832206
ORIGINAL,43,UNIFORM_DIFFUSION,0.5194401388529075,0.4529650772363253,0.8781029772418474,0.6661251483849384,0.47334688673719033,0.9149271366679795,322.04761904761904,93bdfe8c22504008efcb183c8232e9ac28882319af85aac6f2b1d4d89ce1bc41,469ccbb02e0ef96dbc9004baf3176f1eb89496cc61fba920cc4b1609e4871a44,4c1f14234133bb44130cf587a2dbd6330c7c40a7ef544185951e32019545e9a3,0832936bb5da6145eacaa3fa7ca490d6fa69eb72ced12b1614d23f16d2829939,0.5266531132628097,0.6450714330934645,0.3938856889676562,0.561060271378984,0.8324709320021915,0.8576221758831,0.058850574712643676,0.014006675056081413
ORIGINAL,43,FREQUENCY_SELECTIVE_R1,0.5532419021219296,0.5710984803297257,0.8851405744253638,0.6648119840780436,0.4974673512284208,0.942609576323637,337.2857142857143,93bdfe8c22504008efcb183c8232e9ac28882319af85aac6f2b1d4d89ce1bc41,469ccbb02e0ef96dbc9004baf3176f1eb89496cc61fba920cc4b1609e4871a44,4c1f14234133bb44130cf587a2dbd6330c7c40a7ef544185951e32019545e9a3,0832936bb5da6145eacaa3fa7ca490d6fa69eb72ced12b1614d23f16d2829939,0.5025326487715792,0.6382215220340467,0.44793974302171025,0.6050269299820467,0.833231874353199,0.8605243304413429,0.5006896551724138,0.10919482603028176
ORIGINAL,44,UNIFORM_DIFFUSION,0.36668734828170885,0.3022539061824409,0.538025879459154,0.32322960286964414,0.37417731987181696,0.7324593484498959,190.79166666666666,6a9fda156f125d22e559354cf1ee4319756802d696eb3aea1ea09b6f25cd8ebf,d765e23037a656aeca6bc63600df16304f6c268f3d6ff725939feb3f92679351,4c1f14234133bb44130cf587a2dbd6330c7c40a7ef544185951e32019545e9a3,0832936bb5da6145eacaa3fa7ca490d6fa69eb72ced12b1614d23f16d2829939,0.6258226801281831,0.6347686285474626,0.27913159060700043,0.427263479145473,0.3013027333049248,0.4042057982850143,0.002758620689655172,0.0005114871488853843
ORIGINAL,44,FREQUENCY_SELECTIVE_R1,0.4061375063702775,0.3550624578180391,0.46829889283078135,0.3653236890508681,0.31373832741807656,0.6926799077252012,257.4583333333333,6a9fda156f125d22e559354cf1ee4319756802d696eb3aea1ea09b6f25cd8ebf,d765e23037a656aeca6bc63600df16304f6c268f3d6ff725939feb3f92679351,4c1f14234133bb44130cf587a2dbd6330c7c40a7ef544185951e32019545e9a3,0832936bb5da6145eacaa3fa7ca490d6fa69eb72ced12b1614d23f16d2829939,0.6862616725819234,0.6574130617768902,0.2809038546743465,0.422103861517976,0.4503256833262312,0.5442139336423159,0.002758620689655172,0.0008191685439279131
BALANCED,42,UNIFORM_DIFFUSION,0.5560992803054676,0.6643416334412113,0.874231948314135,0.7019682307197397,0.4332035422624996,0.9021268215833005,750.7916666666666,bfe4a6b05874038b73a4cdded202fdc1960581a9dd3771f515c5e01743703b1b,1d3cc613ff0e8ec731ef106edbccaa6d5c6d756cb916366ad32fac14f1deed73,4c1f14234133bb44130cf587a2dbd6330c7c40a7ef544185951e32019545e9a3,0832936bb5da6145eacaa3fa7ca490d6fa69eb72ced12b1614d23f16d2829939,0.5667964577375004,0.6661267135076032,0.27913159060700043,0.38997214484679665,0.8114384854203446,0.7727358367512572,1.0,0.3955624261162135
BALANCED,42,FREQUENCY_SELECTIVE_R1,0.5562624321519506,0.6644277779572515,0.8743442873866027,0.7021107536634056,0.43285896419833914,0.9020986890226749,750.7916666666666,bfe4a6b05874038b73a4cdded202fdc1960581a9dd3771f515c5e01743703b1b,1d3cc613ff0e8ec731ef106edbccaa6d5c6d756cb916366ad32fac14f1deed73,4c1f14234133bb44130cf587a2dbd6330c7c40a7ef544185951e32019545e9a3,0832936bb5da6145eacaa3fa7ca490d6fa69eb72ced12b1614d23f16d2829939,0.5671410358016609,0.6663832543827686,0.27913159060700043,0.38997214484679665,0.8114384854203446,0.7727358367512572,1.0,0.3959584926269798
BALANCED,43,UNIFORM_DIFFUSION,0.5041718149009468,0.5621734865605809,0.8451216937188971,0.6606755968045877,0.545880569242962,0.9594047150171608,37.458333333333336,93bdfe8c22504008efcb183c8232e9ac28882319af85aac6f2b1d4d89ce1bc41,af823908b89be1eaec3ba848d8b8e3f8c5729063f4647485f275eca235a682b5,4c1f14234133bb44130cf587a2dbd6330c7c40a7ef544185951e32019545e9a3,0832936bb5da6145eacaa3fa7ca490d6fa69eb72ced12b1614d23f16d2829939,0.45411943075703803,0.6032683328755837,0.2924235711120957,0.43926788685524126,0.8267486455226152,0.831328619961436,0.6754022988505747,0.14282241991152594
BALANCED,43,FREQUENCY_SELECTIVE_R1,0.47749922503602305,0.407367573257076,0.8115135517602552,0.6356897515139914,0.5029116846421556,0.9153491250773645,60.86363636363637,93bdfe8c22504008efcb183c8232e9ac28882319af85aac6f2b1d4d89ce1bc41,af823908b89be1eaec3ba848d8b8e3f8c5729063f4647485f275eca235a682b5,4c1f14234133bb44130cf587a2dbd6330c7c40a7ef544185951e32019545e9a3,0832936bb5da6145eacaa3fa7ca490d6fa69eb72ced12b1614d23f16d2829939,0.4970883153578443,0.6202997011588158,0.2946389011962782,0.44660846205507054,0.8280879040603883,0.8408072441820935,0.009655172413793104,0.0022814927481123364
