comparison,seed,macro_f1,auprc,fault_recall,far,early_recall,mean_delay
R2-C1,7,0.0024993081342801204,7.739821913599343e-06,-0.004787234042553212,-0.008203124999999999,0.0,0.0
R2-C1,42,0.0033933224808293527,0.0006143319927351953,0.006382978723404209,-0.0007812499999999972,0.006249999999999978,0.0
R2-C1,2026,0.00022533901429822034,-4.682188517435293e-05,0.0,-0.0003906250000000021,0.0,0.0
R2-R1,7,-2.2706411140993588e-05,-0.0002026363709354273,-0.0005319148936170359,-0.0003906249999999986,0.0,0.0
R2-R1,42,0.0002451647797359069,-2.9660323037195013e-05,0.0005319148936169249,0.0,0.0,0.0
R2-R1,2026,0.00025262626390021303,-4.823639550355363e-05,0.0005319148936170359,0.0,0.0,0.0
