representation,fault_macro_f1,fault_macro_recall,well_id_accuracy,well_id_macro_f1,well_id_chance
process,0.2310836238748037,0.33718735201687544,0.9841820987654321,0.9001555281263711,0.03333333333333333
mask,0.11558375048295436,0.25280898876404495,0.8209876543209876,0.6352663505295084,0.03333333333333333
combined,0.1897563420061225,0.20430237391837788,0.9864969135802469,0.9147790597996186,0.03333333333333333
