group,pairs,mean_cosine_similarity,std,p25,median,p75
same_well,82513,0.9996792876593733,0.00368772803718483,1.0,1.0,1.0
same_class_different_well,187265,0.49409977345963285,0.25772600230576526,0.375,0.47140452079103173,0.6546536707079772
different_class,313962,0.5314355688124045,0.23992859477749823,0.375,0.48507125007266594,0.7452518550093897
